wid,test_type,overlay,train_presentation_duration,recall_time,afc_time,afc_bonus_time,n_pair,n_repeat,n_distractor,bonus_rate_critical,bonus_rate_afc,bonus_rate_distractor,bonus_rate_speed,afc_scores,completed,bonus,version,math_correct
w54aa9f3,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'stranger': 7.509559961113233, 'lover': 7.370948473270366, 'seagull': 7.7415607649083755, 'society': 7.158629521129278, 'octopus': 7.322003020250318, 'cue': 7.290284016363219, 'traitor': 7.237091816455433, 'pig': 7.559302692691188, 'scenery': 7.3148588614387835, 'walrus': 7.293629719431979, 'bug': 7.132869144929519, 'finger': 7.052811504505338, 'hero': 6.709628921130206, 'ghost': 7.191207692218836, 'grizzly': 7.240550713002054, 'elephant': 6.928860136454747, 'department': 7.659565680127755, 'tiger': 7.309829976406955, 'cauliflower': 7.408955141196533, 'follower': 6.912903515012214, 'gravel': 7.50507044490114, 'tart': 7.73826326355717, 'house': 6.898362260858284, 'fellow': 7.412947901980005, 'neck': 7.141055681874003, 'enemy': 7.177285203264646, 'quill': 7.877503154687783, 'eagle': 7.560459156079967, 'cactus': 7.192916582668968, 'flower': 7.441989039047244, 'rouge': 7.173055864483608, 'vagrant': 7.702746390898216, 'scapegoat': 6.82084632959362, 'cookie': 8.30046992650098, 'bed': 7.509073994462837, 'donor': 7.159752087178625, 'rebel': 7.241582240484706, 'critic': 7.263407684284139, 'chimney': 7.002513974536105, 'sand': 7.135132132256044}",True,2.04,v4.0,9.0
w8390ed6,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'antelope': 7.629785776769874, 'grizzly': 7.829879922437134, 'cauliflower': 7.754575347900807, 'consumer': 7.417795683366364, 'roost': 7.1710133342230336, 'penguin': 6.69095212586999, 'frog': 7.487522087697394, 'vagrant': 7.413377735400771, 'octopus': 6.732429670404358, 'rouge': 6.888839230625298, 'tart': 7.008675108827009, 'application': 7.073474334772449, 'sand': 7.087144419362525, 'goat': 7.320480519187716, 'society': 7.629657849339218, 'pizza': 7.44061595092881, 'baby': 7.771952049931474, 'critic': 8.109164030461224, 'well': 7.720118785846286, 'dandelion': 7.166747344941117, 'volunteer': 7.401262570666462, 'quill': 7.265667889408239, 'enemy': 7.2567810252302225, 'hero': 7.397273060098576, 'traitor': 7.155710094540491, 'patient': 7.026379265393067, 'lover': 7.207331712535718, 'flower': 7.585059380251671, 'finger': 7.471986377371124, 'tread': 7.462206808643342, 'magazine': 7.002621747620094, 'ozone': 7.222154957099217, 'pillow': 7.340548341227972, 'elbow': 6.960011295680381, 'seagull': 7.445317324062731, 'strawberry': 6.911181212975843, 'mister': 7.097254826040405, 'ghost': 6.818082962520591, 'barracuda': 7.155946030670176, 'bug': 6.855700305966889}",True,1.62,v4.0,9.0
wc937dff,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'octopus': 7.800013248087493, 'tomato': 7.542025083763568, 'follower': 7.488915691165249, 'neck': 7.390466883291193, 'horse': 7.710350983559542, 'tiger': 7.214638773757829, 'well': 7.553937604179147, 'stable': 8.134590146377581, 'electron': 7.494869133643198, 'cactus': 7.508115580926813, 'application': 7.151151385704657, 'community': 7.8427059411338425, 'antelope': 7.968767459315985, 'eagle': 7.548397557266589, 'lover': 7.016985081204278, 'editorial': 7.5325497332399, 'permit': 7.211365392393174, 'cookie': 7.450988443388319, 'barracuda': 7.07173370205629, 'grizzly': 7.358441422060483, 'apple': 7.320015994634942, 'gravel': 7.239432066886479, 'saxophone': 7.994674661400977, 'donor': 7.824299762652152, 'enemy': 7.0344639515975125, 'goddess': 6.979512882897926, 'idol': 7.4280411064051215, 'crook': 7.739911142263551, 'carrot': 7.225762813194155, 'refrigerator': 7.2559778510087645, 'ghost': 7.135588709176783, 'daisy': 7.324363300840894, 'magazine': 7.580268747908684, 'bug': 7.3209820403692305, 'pig': 7.248862382781692, 'elbow': 7.085993674054339, 'traitor': 7.296200621433048, 'major': 7.630459250906289, 'society': 7.808041024800005, 'department': 7.301286870746087}",True,1.91,v4.0,3.0
w16746fb,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'territory': 7.257720419152957, 'keeper': 6.976053823712006, 'ear': 6.941188595705004, 'refrigerator': 6.894865467723576, 'chimney': 6.800137535736906, 'application': 6.656201407893572, 'shoelace': 6.78370341843386, 'editorial': 7.088164359907641, 'agent': 6.8675702081185905, 'winner': 6.553795725013603, 'ozone': 6.5367275926321255, 'eagle': 6.700176858849141, 'electron': 6.618443858403341, 'dandelion': 6.651253945823773, 'finger': 6.4299763078977366, 'pillow': 6.546532128634276, 'roost': 6.671387558018716, 'goat': 6.825672379814592, 'handkerchief': 6.838992567205189, 'hero': 6.492537827668312, 'neck': 6.562453380820622, 'banana': 6.6633258766516015, 'patient': 6.799544339006243, 'pizza': 7.245585709818632, 'baby': 6.626083213527667, 'enemy': 6.510493356034869, 'transplant': 6.715181900959553, 'rouge': 6.447749850468103, 'donor': 7.057642484843124, 'virus': 6.610000358642668, 'society': 6.528113368557865, 'apple': 6.7154697503021366, 'community': 6.6067396292474285, 'tiger': 6.600306478822174, 'elephant': 6.684948644580619, 'personnel': 6.603188482412434, 'carrot': 6.666374160005833, 'tulip': 6.642596661495484, 'rebel': 6.656476180475134, 'cookie': 6.8657086571847685}",True,2.3,v4.0,7.0
wfe7ccfc,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'agent': 7.325740215448577, 'critic': 6.926725614135218, 'barracuda': 7.47229865635929, 'department': 6.968429151810011, 'antelope': 6.923235741633106, 'fellow': 7.054805275779817, 'neck': 7.037976227370865, 'empire': 6.846571809808194, 'saxophone': 7.1615338301838705, 'territory': 7.00662986833905, 'pillow': 7.24416505105322, 'dandelion': 6.915371089412111, 'application': 6.736564325437295, 'villain': 6.616471568054833, 'keeper': 6.821112973909506, 'lover': 6.792817366647991, 'major': 6.878425343635232, 'cactus': 6.702404421509351, 'refrigerator': 7.123949041110616, 'society': 7.024995399261324, 'personnel': 7.776151923388253, 'patient': 7.004762447592856, 'community': 7.225606861424499, 'transplant': 7.128106613589708, 'rouge': 7.116512862084607, 'cookie': 7.013302832598018, 'tulip': 7.339915082547962, 'magazine': 6.759491774935022, 'carrot': 6.759382163242055, 'jeans': 6.530103341028213, 'idol': 6.754592152381875, 'parrot': 6.722527566000032, 'donor': 7.343332311959302, 'penguin': 6.9793247332930575, 'consumer': 7.309843828897389, 'elbow': 6.622275084314502, 'hamburger': 7.100430132393234, 'elephant': 7.297265487974971, 'ear': 6.852702419467726, 'gravel': 6.845750684086798}",True,2.11,v4.0,9.0
wa698cc6,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'editorial': 7.416408526419281, 'tractor': 7.030623047454348, 'apple': 7.027286942904337, 'tulip': 7.20664896255636, 'finger': 7.158586211012323, 'walrus': 7.5364145757322305, 'seagull': 7.612694381671079, 'pillow': 7.293410812965468, 'keeper': 6.716600638565331, 'hero': 7.146345887205257, 'roost': 7.09947428079936, 'agent': 7.217764476478564, 'major': 6.962982581483704, 'grizzly': 7.360228051242508, 'flower': 7.312175009135519, 'ozone': 6.884021900414371, 'frog': 7.1715413890812405, 'eagle': 6.899397066464599, 'traitor': 7.656402738258557, 'banana': 7.237298686043309, 'penguin': 7.141584289357874, 'pitchfork': 7.202789113294494, 'hamburger': 7.753448878556053, 'saxophone': 6.786395925815122, 'volunteer': 6.805156310289043, 'captive': 7.597147548024295, 'stranger': 7.396972656375451, 'tread': 6.896785764025412, 'cauliflower': 7.2676655807476065, 'department': 6.917925845497796, 'atom': 7.06629000646666, 'cookie': 6.7162484275955885, 'scapegoat': 7.026589422001769, 'transplant': 7.246942622177163, 'quill': 7.22184490836231, 'mister': 7.287745018477125, 'community': 6.913116578267304, 'bug': 7.059630440811311, 'villain': 7.220956984029694, 'elephant': 6.847065682734641}",True,1.77,v4.0,7.0
w19e1e35,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'frog': 8.815175225189863, 'elbow': 7.227075348127765, 'bed': 7.281060365806339, 'baby': 6.760002137299341, 'refrigerator': 8.830820634863537, 'tulip': 7.816770033632532, 'donor': 8.246979876116626, 'application': 6.716011138900036, 'keeper': 8.67351120830984, 'rouge': 7.326559032204243, 'volunteer': 7.303246284258791, 'horse': 7.344572268775779, 'hero': 8.511881951578887, 'editorial': 7.607682737021352, 'fellow': 8.406335275505016, 'roost': 8.428563987851826, 'rebel': 7.829312992152766, 'community': 7.906112899311906, 'antelope': 7.549817044141316, 'enemy': 6.756733775243792, 'daisy': 7.931940825210042, 'house': 7.59872552052158, 'magazine': 7.7434899801792545, 'apple': 7.683129313481906, 'agent': 7.881221841414532, 'jeans': 7.361044478473008, 'winner': 7.677356332541872, 'pizza': 7.935190549217386, 'pig': 8.335958539483192, 'crook': 8.146973247962364, 'elephant': 6.981196391731866, 'barracuda': 7.744715904661265, 'cauliflower': 7.43262134840855, 'tread': 7.176724676329929, 'goddess': 7.243283625198113, 'captive': 7.159119730147739, 'virus': 6.677807331450983, 'tractor': 7.276852319782937, 'cookie': 7.672928731923242, 'villain': 7.315159350106824}",True,1.81,v4.0,9.0
w3288c08,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'villain': 7.504656376205086, 'handkerchief': 7.337165994963196, 'parrot': 6.976775648897479, 'neck': 7.29237509093804, 'seagull': 7.461256760219751, 'jeans': 7.397906645018395, 'consumer': 7.681121910523308, 'baby': 6.819030913024487, 'enemy': 7.210083444745618, 'goat': 7.508145565481903, 'cue': 6.962252431661654, 'grizzly': 7.067648665729773, 'lover': 7.150107666604389, 'tractor': 7.285506782604982, 'finger': 7.404863695200916, 'fellow': 7.164173708518003, 'ear': 7.532727570660625, 'cactus': 7.0746714651369205, 'shoelace': 7.579206021943598, 'frog': 7.173687730243574, 'editorial': 7.546823319735558, 'empire': 7.741928485899215, 'bed': 6.976548761206565, 'critic': 7.254108458546054, 'tulip': 7.108053051069317, 'captive': 7.852343401877086, 'transplant': 7.1434785868873805, 'tread': 7.107079425093317, 'department': 7.299483447055927, 'rouge': 7.161516194203728, 'idol': 7.156948339797996, 'walrus': 6.901662410140131, 'house': 7.251832284477151, 'community': 7.236884731474805, 'pillow': 7.5759654011970055, 'dandelion': 7.657193291332436, 'roost': 6.854742556930809, 'apple': 7.481890874511557, 'virus': 7.356193980445915, 'ozone': 7.594615846894828}",True,1.87,v4.0,7.0
w38bf282,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'banana': 6.8258606995120585, 'bug': 6.73014117836055, 'antelope': 6.8155035273752445, 'cookie': 6.619457713991373, 'tractor': 6.530394934079697, 'strawberry': 6.43522446153949, 'penguin': 6.645010247693038, 'territory': 6.7151097019262105, 'elbow': 6.831788132018462, 'cactus': 6.534817899366519, 'empire': 6.6579880727980205, 'frog': 6.54572983987293, 'seagull': 6.744827194207424, 'tread': 6.616687904294236, 'refrigerator': 6.50964765397399, 'bed': 6.682774475144623, 'grizzly': 6.51983623738965, 'stranger': 6.749306804563209, 'transplant': 6.709386661070368, 'neck': 6.496532109390286, 'dandelion': 6.4356494707974745, 'fellow': 6.649272421267864, 'shoelace': 6.6528230005438, 'parrot': 6.587737095877027, 'editorial': 6.6532144555534485, 'stable': 6.650856598385984, 'patient': 6.679264046587588, 'apple': 6.687604446830122, 'application': 6.636173262396192, 'well': 6.738772454104853, 'baby': 6.748948807498337, 'vagrant': 6.887732309397623, 'captive': 6.489699828055939, 'lover': 6.574380754636157, 'roost': 6.6772251213626825, 'critic': 6.667991795934434, 'follower': 6.707890430871838, 'hero': 6.715413716553573, 'crook': 6.603912229406935, 'cauliflower': 6.484138838833798}",True,2.33,v4.0,10.0
w2e2f1a8,simple-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'rouge': 6.7882221608390125, 'seagull': 6.6644996897898485, 'elephant': 6.418655639241044, 'goddess': 6.497218377865266, 'tiger': 6.550408365667039, 'cue': 6.539908809980582, 'baby': 6.535482267601682, 'barracuda': 6.857288802984186, 'ozone': 6.50233784013194, 'agent': 6.461104758101612, 'suburb': 6.420334753347446, 'chimney': 6.465158951367478, 'bug': 6.499706498315181, 'major': 6.585245136416092, 'pitchfork': 6.6235749853053845, 'hamburger': 6.457476732827309, 'follower': 6.5383913195363705, 'grizzly': 6.499662215486367, 'jeans': 6.465578183382294, 'octopus': 6.49588573855883, 'horse': 6.546064231662505, 'elbow': 6.429640331208307, 'carrot': 6.522685890884882, 'well': 6.66763060912684, 'captive': 6.701342431224771, 'bed': 6.634257472069614, 'tractor': 6.745406946435273, 'volunteer': 6.64376843374079, 'stable': 6.832378886026194, 'enemy': 6.527738104434782, 'electron': 6.438990154151042, 'hero': 6.646416050541279, 'traitor': 6.518094964564263, 'magazine': 6.521354375709005, 'territory': 6.894167021235218, 'tulip': 6.704344969261164, 'rebel': 6.436918338656812, 'frog': 6.570008906380241, 'department': 6.468859098829469, 'goat': 6.473471222950106}",True,2.31,v4.0,8.0
