,Q0,Q1,Q2,Q3
0,no,the final one with typing and hitting enter yes,i clicked enter and it wouldnt accept for the last set where i was asked to type the word in ,
1,Instructions were not difficult to understand. ,the interface was easy to use,"i did experience some issues in the last round. Sometimes when i tried to submit the word, it would not go through. ",
2,No,No,There were times in the last round where I pressed enter to enter the text and the text box wouldn't appear. So I wasn't able to put in the answer and it timed out. ,
3,Yes,No,No,
