wid,practice,presentation_times,primed_word,first_seen,first_word,second_word,choice,choice_rt,typing_rt,word,response,response_rt,response_type
w7b2b827,False,"[849.9000000357628, 2025.0999999642372]",ear,left,computer,ear,right,2875.0,3929.199999988079,ear,ear,4432.5,correct
w7b2b827,False,"[941.6999999880791, 2965.0]",snake,left,bird,snake,right,3906.699999988079,4641.799999952316,snake,snake,5282.799999952316,correct
w7b2b827,False,"[553.1999999880791, 1856.5, 498.9000000357628]",flower,left,flower,egg,left,2908.600000023842,3943.800000011921,flower,flower,4772.800000011921,correct
w7b2b827,False,"[513.8999999761581, 1773.300000011921]",door,left,pig,door,right,2287.199999988079,3092.300000011921,door,door,3611.100000023842,correct
w7b2b827,False,[1468.6000000238419],candle,left,candle,apple,left,1468.6000000238419,1991.4000000357628,candle,candle,2667.0,correct
w7b2b827,False,"[314.7000000476837, 1058.0999999642372]",toilet,left,milk,toilet,right,1372.800000011921,1884.300000011921,toilet,toilet,2540.800000011921,correct
w7b2b827,False,"[366.0999999642372, 1541.0]",fence,left,truck,fence,right,1907.0999999642372,2602.300000011921,fence,fence,3208.599999964237,correct
w7b2b827,False,[1686.5],heart,left,heart,window,left,1686.5,2427.0,heart,heart,3017.300000011921,correct
w7b2b827,False,"[370.69999998807907, 1079.9000000357628]",bread,left,lion,bread,right,1450.6000000238419,2010.9000000357628,bread,bread,2774.400000035763,correct
w7b2b827,False,"[643.0999999642372, 1475.300000011921]",drink,left,volcano,drink,right,2118.399999976158,2917.099999964237,drink,drink,3680.300000011921,correct
w7b2b827,False,"[336.0, 523.7999999523163, 742.4000000357628]",bear,left,bear,lawn,left,1602.199999988079,2228.7999999523163,bear,bear,2710.599999964237,correct
w7b2b827,False,"[415.0999999642372, 388.30000001192093, 638.8999999761581]",potato,left,potato,cat,left,1442.2999999523163,1945.5999999642372,potato,potato,3298.099999964237,correct
w7b2b827,False,"[505.5, 1106.5]",dog,left,eye,dog,right,1612.0,2044.5,dog,dog,2403.899999976158,correct
w7b2b827,False,[1275.2999999523163],bee,right,bee,jeans,right,1275.2999999523163,1856.3999999761581,bee,bee,2230.899999976158,correct
w7b2b827,False,[1330.2999999523163],bed,left,bed,bag,left,1330.2999999523163,1809.5,bed,bed,2190.2999999523163,correct
w7b2b827,False,"[358.0, 840.8000000119209]",puzzle,left,hat,puzzle,right,1198.800000011921,2061.900000035763,puzzle,puzzle,2999.699999988079,correct
w7b2b827,False,"[346.4000000357628, 803.7999999523163]",hay,left,duck,hay,right,1150.199999988079,1848.6000000238419,hay,hay,2284.699999988079,correct
w7b2b827,False,[1214.5],horse,right,horse,nut,right,1214.5,1755.9000000357628,horse,horse,2378.2000000476837,correct
w9c68907,True,"[1220.6000000238419, 1487.2000000476837, 1145.6999999284744, 1178.1000000238419, 4494.600000023842, 377.39999997615814, 11400.899999976158]",bed,left,apple,bed,left,21304.5,22984.399999976158,apple,cat,24097.600000023842,intrusion
w9c68907,False,[],bone,,,,left,,,bone,dog,,intrusion
w9c68907,False,"[997.0, 1381.3999999761581, 3192.5]",eye,right,truck,eye,left,5570.899999976158,6748.700000047684,eye,cat,7350.899999976158,intrusion
w9c68907,False,"[794.6000000238419, 750.1000000238419, 3972.2999999523163]",milk,left,lion,milk,left,5517.0,6982.0,lion,dog,7830.399999976158,intrusion
w9c68907,False,[2254.399999976158],egg,left,egg,toilet,left,2254.399999976158,3186.399999976158,egg,egg,4344.0,correct
w9c68907,False,"[645.2999999523163, 1754.5, 1411.2000000476837, 379.2999999523163, 591.1000000238419, 495.7999999523163, 379.2000000476837, 2168.899999976158]",duck,left,duck,dog,left,7825.299999952316,9003.299999952316,duck,dog,11897.699999928474,intrusion
w9c68907,False,"[751.8000000715256, 773.0, 1477.0, 2180.100000023842]",bread,right,bread,puzzle,left,5181.900000095367,6552.0,puzzle,dog,10214.0,intrusion
w9c68907,False,"[13.100000023841858, 403.0, 932.8000000715256, 2340.1999999284744, 2659.8000000715256]",potato,left,potato,computer,left,6348.900000095367,7281.200000047684,potato,candle,8412.100000023842,intrusion
w9c68907,False,"[793.6000000238419, 1711.1000000238419, 1231.8999999761581, 1700.1000000238419]",jeans,right,flower,jeans,left,5436.700000047684,6699.5,jeans,dog,7206.800000071526,intrusion
w9c68907,False,"[601.8000000715256, 645.7999999523163, 1295.0, 3821.8000000715256]",cake,right,sand,cake,left,6364.400000095367,7564.600000023842,cake,dog,8145.800000071526,intrusion
w9c68907,False,"[623.0, 1060.2999999523163, 2191.399999976158]",drink,right,drink,bag,right,3874.6999999284744,5094.399999976158,drink,dog,5622.599999904633,intrusion
w9c68907,False,"[708.5, 1328.0, 1391.1000000238419, 1732.2000000476837]",window,right,bee,window,left,5159.800000071526,6007.200000047684,window,cat,6546.0,intrusion
w9c68907,False,"[581.1000000238419, 1093.1000000238419, 1444.1000000238419]",candle,right,fence,candle,right,3118.3000000715256,3913.100000023842,fence,cat,4494.5,intrusion
w9c68907,False,"[687.7000000476837, 2287.1999999284744, 2222.600000023842]",cat,right,cat,snake,right,5197.5,6087.399999976158,cat,cat,6679.899999976158,correct
w9c68907,False,"[549.0, 1540.3999999761581, 676.3999999761581, 1349.3000000715256]",nut,right,pig,nut,left,4115.100000023842,5421.100000023842,nut,dog,6011.899999976158,intrusion
w9c68907,False,"[665.8999999761581, 816.0, 1412.5, 1508.9000000953674, 751.5999999046326, 1615.2000000476837]",lawn,right,lawn,horse,left,6770.100000023842,7585.0,horse,bird,8406.399999976158,intrusion
