wid,word,image,practice,block,typing_rt,response,type_time,rt,response_type
w1475180,jeans,../static/stimuli/images/shoppingmall/sun_ayhhurcrocmglxyx.jpg,True,1,1996.0,jeans,1117.0,3113.0,correct
w1475180,door,../static/stimuli/images/forest/sun_aoqjnzwgdikwayvw.jpg,False,1,1834.0,eggs,1512.0,3346.0,intrusion
w1475180,flower,../static/stimuli/images/street/sun_avxrcniddstcuuuc.jpg,False,1,1397.0,bread,650.0,2047.0,intrusion
w1475180,lawn,../static/stimuli/images/downtown/sun_axbzajoxhnjergfp.jpg,False,1,3501.0,bear,2786.0,6287.0,intrusion
w1475180,potato,../static/stimuli/images/beach/sun_abrqamdurwzygcjy.jpg,False,1,4766.0,tree,731.0,5497.0,intrusion
w1475180,candle,../static/stimuli/images/river/sun_atesawsfypjpyefy.jpg,False,1,2668.0,bread,909.0,3577.0,intrusion
w1475180,toilet,../static/stimuli/images/theater/sun_awkfdodvwaaleezx.jpg,False,1,2094.0,eggs,1319.0,3413.0,intrusion
w1475180,pig,../static/stimuli/images/gym/sun_auzbqfsaebhgtrig.jpg,False,1,3784.0,egg,1017.0,4801.0,intrusion
w1475180,sand,../static/stimuli/images/skiresort/sun_agpfoakkwrzedbll.jpg,False,1,2558.0,bread,969.0,3527.0,intrusion
w1475180,egg,../static/stimuli/images/grocery/sun_acmmgshfrxgopxlk.jpg,False,1,11608.0,bread,605.0,12213.0,intrusion
w1475180,heart,../static/stimuli/images/waterfall/sun_aecefabfvaewllpg.jpg,False,1,1316.0,heart,640.0,1956.0,correct
w1475180,rabbit,../static/stimuli/images/garage/sun_dswqerijtizeqkhu.jpg,False,1,2120.0,rabbit,1038.0,3158.0,correct
w1475180,apple,../static/stimuli/images/auditorium/sun_aiheutdgogkujwri.jpg,False,1,2181.0,eye,586.0,2767.0,intrusion
w1475180,hay,../static/stimuli/images/pool/sun_alkvkavnnunmdavq.jpg,False,1,4360.0,water,1549.0,5909.0,other
w1475180,nut,../static/stimuli/images/airport/sun_ammfdrzrfvjsqahx.jpg,False,1,5767.0,cloud,1364.0,7131.0,other
w1475180,puzzle,../static/stimuli/images/vineyard/sun_amazvkispkonazvz.jpg,False,1,1649.0,puzzle,2101.0,3750.0,correct
