response_type,rt,first_pres_time,second_pres_time,third_pres_time,last_pres_time,choose_first,n_pres,total_first,total_second,pretest_accuracy_first,strength_first,pretest_accuracy_second,strength_second
correct,12470.023880638259,489.7916282374264,1060.438257427048,1145.4812684662068,711.9749891241419,false,12,5538.96912783408,6931.054752804178,0.0,-0.4505931258581729,1.0,0.2424535137607317
correct,703.7529235155797,703.7529235155797,NaN,NaN,703.7529235155797,true,1,703.7529235155797,0.0,1.0,1.6198183510003623,0.0,-1.3165466185174182
correct,8086.085672843525,1292.3886685301381,1051.4534765511703,921.116531430443,1489.3927463787597,true,7,5387.375610821329,2698.710062022195,0.0,0.10978352093839527,0.0,-2.1062052262388677
correct,1794.997443949354,489.41427019948713,1305.5831737498668,NaN,1305.5831737498668,false,2,489.41427019948713,1305.5831737498668,1.0,0.2152083103780461,1.0,0.6927479850708483
correct,3746.893456344258,714.6628883829699,1693.874589550019,1338.3559784112695,1338.3559784112695,true,3,2053.0188667942393,1693.874589550019,0.5,0.8452801556656372,0.0,-1.5342671032122563
correct,6089.804004641048,474.1013054378674,1087.8895394195088,697.6516860556892,682.670049697517,false,6,3052.377665920892,3037.4263387201563,0.0,0.41515258309203185,1.0,0.7031252364872491
correct,4818.941678248808,454.8932749978058,507.9511720252241,1252.001718707203,1303.4758439949323,true,5,3010.370837699941,1808.5708405488667,0.0,-0.1583656932528556,0.0,-0.9424818309529811
empty,16238.998345037213,464.61305164909703,1114.013391475445,1143.2408722113344,688.2229406592646,false,14,8471.681175771693,7767.31716926552,0.0,-0.768082496907732,0.0,-0.9735208881764296
correct,2232.516509577517,1146.1332391299322,1086.3832704475847,NaN,1086.3832704475847,false,2,1146.1332391299322,1086.3832704475847,0.5,0.07401199812690899,1.0,1.1493086900382106
correct,6268.851123426632,1259.4488127940238,861.6721020645434,1523.9210941130339,489.7314681052821,false,6,4276.07447809234,1992.7766453342917,0.0,-1.0609418173874603,1.0,1.759448354411158
correct,3435.972107497344,660.2745953762893,1866.2122136746812,909.4852984463737,909.4852984463737,true,3,1569.759893822663,1866.2122136746812,1.0,1.762664010284536,0.0,-1.342128644492817
correct,2149.005612868843,1095.3580367796678,1053.6475760891753,NaN,1053.6475760891753,false,2,1095.3580367796678,1053.6475760891753,0.0,-2.1511475589870317,1.0,1.319814805722737
empty,14580.335007810983,499.72977454460477,907.0952570212069,2121.2384621225006,2258.1132399067947,false,9,7816.622663461919,6763.712344349064,0.5,-0.6911727786995608,0.0,-1.9536501475889265
empty,15168.868851399628,3514.6979759334654,2297.875914456125,1473.9931333441739,491.25110812949447,false,11,9360.303170043288,5808.565681356341,0.0,-0.21032367396292512,0.5,0.05730261467347509
correct,2484.098788018696,943.245833684701,1084.0880162528733,456.7649380811213,456.7649380811213,true,3,1400.0107717658223,1084.0880162528733,0.5,0.27213640880701384,0.0,0.21029070840940156
correct,3253.3269188935324,906.7462913476281,722.6197789839356,911.3417775313789,712.6190710305896,false,4,1818.088068879007,1435.2388500145253,0.5,0.6876403511898856,1.0,0.7554436055612721
correct,3911.7658005513604,1294.2336270995047,888.6660510785837,1270.876172672587,457.989949700685,false,4,2565.1097997720917,1346.6560007792687,0.0,-0.6284465017912619,1.0,1.7260784461433212
empty,16088.282012554184,876.4250802799696,696.8978465560415,1667.3852903910004,886.3954297700215,false,14,9449.069711934897,6639.212300619288,0.0,-0.7082664140766939,0.0,-0.053111152734543365
empty,15776.996564665675,676.0538839297167,521.78963409308,1437.8237475258866,525.0072640452971,false,13,6712.784391097407,9064.212173568269,0.5,-0.24417517844195097,0.0,-2.157793163437372
