duration,presentation,n_pres,pretest_accuracy_first,pretest_accuracy_second,response_type,trial_id
489.7916282374264,1,12,0.0,1.0,correct,1
1060.438257427048,2,12,0.0,1.0,correct,1
1145.4812684662068,3,12,0.0,1.0,correct,1
865.5480132211545,4,12,0.0,1.0,correct,1
900.4518924867275,5,12,0.0,1.0,correct,1
2077.7672750212937,6,12,0.0,1.0,correct,1
940.8538577283751,7,12,0.0,1.0,correct,1
916.4393272207169,8,12,0.0,1.0,correct,1
1317.5072819829707,9,12,0.0,1.0,correct,1
1298.886890789823,10,12,0.0,1.0,correct,1
744.883198932373,11,12,0.0,1.0,correct,1
711.9749891241419,12,12,0.0,1.0,correct,1
703.7529235155797,1,1,1.0,0.0,correct,2
1292.3886685301381,1,7,0.0,0.0,correct,3
1051.4534765511703,2,7,0.0,0.0,correct,3
921.116531430443,3,7,0.0,0.0,correct,3
870.3857352776337,4,7,0.0,0.0,correct,3
1684.4776644819883,5,7,0.0,0.0,correct,3
776.8708501933912,6,7,0.0,0.0,correct,3
1489.3927463787597,7,7,0.0,0.0,correct,3
489.41427019948713,1,2,1.0,1.0,correct,4
1305.5831737498668,2,2,1.0,1.0,correct,4
714.6628883829699,1,3,0.5,0.0,correct,5
1693.874589550019,2,3,0.5,0.0,correct,5
1338.3559784112695,3,3,0.5,0.0,correct,5
474.1013054378674,1,6,0.0,1.0,correct,6
1087.8895394195088,2,6,0.0,1.0,correct,6
697.6516860556892,3,6,0.0,1.0,correct,6
1266.8667496031305,4,6,0.0,1.0,correct,6
1880.6246744273353,5,6,0.0,1.0,correct,6
682.670049697517,6,6,0.0,1.0,correct,6
454.8932749978058,1,5,0.0,0.0,correct,7
507.9511720252241,2,5,0.0,0.0,correct,7
1252.001718707203,3,5,0.0,0.0,correct,7
1300.6196685236425,4,5,0.0,0.0,correct,7
1303.4758439949323,5,5,0.0,0.0,correct,7
464.61305164909703,1,14,0.0,0.0,empty,8
1114.013391475445,2,14,0.0,0.0,empty,8
1143.2408722113344,3,14,0.0,0.0,empty,8
1106.4966321213801,4,14,0.0,0.0,empty,8
502.8537012266478,5,14,0.0,0.0,empty,8
1163.7867438437581,6,14,0.0,0.0,empty,8
1871.7233689924349,7,14,0.0,0.0,empty,8
1501.1454197505464,8,14,0.0,0.0,empty,8
1699.57254406002,9,14,0.0,0.0,empty,8
682.4780521380961,10,14,0.0,0.0,empty,8
1065.273267745296,11,14,0.0,0.0,empty,8
1511.1739892770302,12,14,0.0,0.0,empty,8
1724.404369886864,13,14,0.0,0.0,empty,8
688.2229406592646,14,14,0.0,0.0,empty,8
1146.1332391299322,1,2,0.5,1.0,correct,9
1086.3832704475847,2,2,0.5,1.0,correct,9
1259.4488127940238,1,6,0.0,1.0,correct,10
861.6721020645434,2,6,0.0,1.0,correct,10
1523.9210941130339,3,6,0.0,1.0,correct,10
641.3730751644662,4,6,0.0,1.0,correct,10
1492.7045711852816,5,6,0.0,1.0,correct,10
489.7314681052821,6,6,0.0,1.0,correct,10
660.2745953762893,1,3,1.0,0.0,correct,11
1866.2122136746812,2,3,1.0,0.0,correct,11
909.4852984463737,3,3,1.0,0.0,correct,11
1095.3580367796678,1,2,0.0,1.0,correct,12
1053.6475760891753,2,2,0.0,1.0,correct,12
499.72977454460477,1,9,0.5,0.0,empty,13
907.0952570212069,2,9,0.5,0.0,empty,13
2121.2384621225006,3,9,0.5,0.0,empty,13
2290.2885003130127,4,9,0.5,0.0,empty,13
1262.6684017293112,5,9,0.5,0.0,empty,13
2070.2101326111915,6,9,0.5,0.0,empty,13
1674.8727851587073,7,9,0.5,0.0,empty,13
1496.1184544036519,8,9,0.5,0.0,empty,13
2258.1132399067947,9,9,0.5,0.0,empty,13
3514.6979759334654,1,11,0.0,0.5,empty,14
2297.875914456125,2,11,0.0,0.5,empty,14
1473.9931333441739,3,11,0.0,0.5,empty,14
688.8692344114929,4,11,0.0,0.5,empty,14
