wid,word,image,practice,block,typing_rt,response,type_time,rt,response_type,judgement_type,judgement
wae94e88,computer,../static/stimuli/images/street/sun_aczwveqpgvcxtjxr.jpg,False,0,1070.7999999970198,,0.0,1070.7999999970198,empty,fok,1
wae94e88,flower,../static/stimuli/images/theater/sun_acehmgvyiimdorgz.jpg,False,0,1535.5999999940395,,0.10000000894069672,1535.7000000029802,empty,fok,1
wae94e88,bone,../static/stimuli/images/vineyard/sun_adcctdabyxmhioeg.jpg,False,0,1543.2999999970198,,0.10000000894069672,1543.4000000059605,empty,fok,1
wae94e88,toilet,../static/stimuli/images/beach/sun_aacgcodmtsyjjmbx.jpg,False,0,1395.9000000059605,,0.0,1395.9000000059605,empty,fok,1
wae94e88,door,../static/stimuli/images/roof/sun_awyytziajjpreuke.jpg,False,0,1475.4000000059605,,0.0,1475.4000000059605,empty,fok,1
wae94e88,bird,../static/stimuli/images/footballfield/sun_aszinldqqvnpmwfh.jpg,False,0,1709.1000000089407,car,427.09999999403954,2136.2000000029802,intrusion,confidence,1
wae94e88,lawn,../static/stimuli/images/house/sun_aangbuylfvckqqoo.jpg,False,0,1437.0,,0.09999999403953552,1437.0999999940395,empty,fok,1
wae94e88,cake,../static/stimuli/images/greenhouse/sun_bncgstrupskxwget.jpg,False,0,1131.7000000029802,ear,348.09999999403954,1479.7999999970198,intrusion,confidence,1
wae94e88,candle,../static/stimuli/images/temple/sun_aeurbzlgbulzilum.jpg,False,0,1074.5,,0.0,1074.5,empty,fok,1
wae94e88,apple,../static/stimuli/images/ranch/sun_ajrpvgxcgeblwooh.jpg,False,0,909.3999999910593,,0.0,909.3999999910593,empty,fok,1
wae94e88,bear,../static/stimuli/images/subway/sun_agpnhsuccwnvcjwe.jpg,False,0,1367.5,,0.09999999403953552,1367.5999999940395,empty,fok,1
wae94e88,milk,../static/stimuli/images/musuem/sun_aspbwvercyqvrrkn.jpg,False,0,1033.0,lion,855.5999999940395,1888.5999999940395,intrusion,confidence,2
wae94e88,lion,../static/stimuli/images/shoppingmall/sun_aeqagrktttxaasae.jpg,False,0,1386.8999999910593,lion,1745.300000011921,3132.2000000029802,correct,confidence,1
wae94e88,jeans,../static/stimuli/images/ziggurat/fig2.png,False,0,975.1000000089407,,0.0,975.1000000089407,empty,fok,1
wae94e88,drink,../static/stimuli/images/auditorium/sun_ahcmaddzrcfxzuuz.jpg,False,0,962.7999999970198,,0.0,962.7999999970198,empty,fok,1
wae94e88,bag,../static/stimuli/images/railway/sun_acfjiedtgqzgvtnp.jpg,False,0,1043.7000000029802,,0.0,1043.7000000029802,empty,fok,1
wae94e88,potato,../static/stimuli/images/campsite/sun_azvxwxzbkknkggng.jpg,False,0,873.9000000059605,,0.19999998807907104,874.0999999940395,empty,fok,1
w095d31a,horse,../static/stimuli/images/theater/sun_ahtaknlqeslujgbq.jpg,True,0,2506.0,,0.0,2506.0,empty,fok,1
w095d31a,hat,../static/stimuli/images/roof/sun_awskptrfuzjyjwes.jpg,True,0,2391.0,,0.0,2391.0,empty,fok,1
w095d31a,computer,../static/stimuli/images/beach/sun_abylvpgvhrpaxgnk.jpg,True,0,920.0,,5239.0,6159.0,empty,fok,1
w095d31a,cat,../static/stimuli/images/shoppingmall/sun_addqytasyktafwmq.jpg,False,0,1041.0,,0.0,1041.0,empty,fok,1
w095d31a,drink,../static/stimuli/images/volcano/sun_aetnikjhplqgsznx.jpg,False,0,1632.0,,0.0,1632.0,empty,fok,1
w095d31a,nut,../static/stimuli/images/greenhouse/sun_aahkpmrwfcwqyfcf.jpg,False,0,1249.0,,0.0,1249.0,empty,fok,1
w095d31a,jeans,../static/stimuli/images/tower/sun_afyekzxxqtpzgqni.jpg,False,0,927.0,,0.0,927.0,empty,fok,1
w095d31a,puzzle,../static/stimuli/images/campsite/sun_akmknzqdbcxpznth.jpg,False,0,2128.0,,1.0,2129.0,empty,fok,1
w095d31a,lion,../static/stimuli/images/bookstore/sun_auwghripdoxzluuk.jpg,False,0,1879.0,,0.0,1879.0,empty,fok,1
w095d31a,door,../static/stimuli/images/airport/sun_aojbxgadgjyajeaw.jpg,False,0,1369.0,,0.0,1369.0,empty,fok,1
w095d31a,fence,../static/stimuli/images/river/sun_awyqyxlrmqvjlwnd.jpg,False,0,647.0,,2129.0,2776.0,empty,fok,1
w095d31a,apple,../static/stimuli/images/forest/sun_arwykvgzpgybhibg.jpg,False,0,1257.0,,0.0,1257.0,empty,fok,1
