wid,word,image,practice,block,response_type,typing_rt,response,type_time,rt
wae5ba04,bear,../static/stimuli/images/tower/sun_afyekzxxqtpzgqni.jpg,False,2,intrusion,2685.7999999523163,power,919.8999999761581,3605.6999999284744
wae5ba04,potato,../static/stimuli/images/campsite/sun_ahvodfpzghaczear.jpg,False,2,correct,4790.799999952316,potato,895.8000000715256,5686.600000023842
wae5ba04,lion,../static/stimuli/images/ranch/sun_ajxvkybqisznlxgg.jpg,False,2,empty,8118.799999952316,,0.0,8118.799999952316
wae5ba04,window,../static/stimuli/images/musuem/sun_alsgupdkmpsptlos.jpg,False,2,intrusion,6630.800000071526,power,992.0999999046326,7622.899999976158
wae5ba04,duck,../static/stimuli/images/gym/sun_awvqsdkrklypaaep.jpg,True,2,intrusion,6630.399999976158,flower,823.8999999761581,7454.299999952316
wae5ba04,sand,../static/stimuli/images/grocery/sun_aczzweebuokhxnbb.jpg,False,2,other,2734.7999999523163,time,471.8000000715256,3206.600000023842
wae5ba04,computer,../static/stimuli/images/garage/sun_dfvgejtxiljzbywb.jpg,False,2,other,2535.2999999523163,garage,1199.6000000238419,3734.899999976158
wae5ba04,cat,../static/stimuli/images/laundryroom/sun_aenyfwnevttqnhhe.jpg,False,2,correct,3654.2999999523163,cat,1408.0,5062.299999952316
wae5ba04,bag,../static/stimuli/images/subway/sun_abufzioeatuizeoh.jpg,False,2,correct,1917.8999999761581,bag,703.8000000715256,2621.7000000476837
wae5ba04,puzzle,../static/stimuli/images/pool/sun_aexdaltifheurhfa.jpg,False,2,other,2405.2999999523163,water,816.0,3221.2999999523163
wae5ba04,cake,../static/stimuli/images/auditorium/sun_ahwuhefoqkvitxnk.jpg,False,2,intrusion,4598.5,cat,2143.899999976158,6742.399999976158
wae5ba04,door,../static/stimuli/images/skiresort/sun_agpfoakkwrzedbll.jpg,False,2,other,6182.399999976158,jump,799.8999999761581,6982.299999952316
wae5ba04,nut,../static/stimuli/images/tenniscourt/sun_aczifhfuxagmsqub.jpg,False,2,correct,1261.7999999523163,nut,552.2000000476837,1814.0
wae5ba04,hat,../static/stimuli/images/windmill/sun_avyfornqjbraqqsf.jpg,False,2,intrusion,2478.5,wind,1784.3999999761581,4262.899999976158
wae5ba04,bone,../static/stimuli/images/theater/sun_abldnlzotzlgclky.jpg,False,2,intrusion,10783.0,power,647.5,11430.5
wae5ba04,pig,../static/stimuli/images/vineyard/sun_aokkqrsxsvimuubo.jpg,False,2,intrusion,10430.300000071526,frog,679.3999999761581,11109.700000047684
wae5ba04,jeans,../static/stimuli/images/downtown/sun_bctdtcqciqgupefg.jpg,False,2,empty,13766.900000095367,,0.0,13766.900000095367
wae5ba04,bee,../static/stimuli/images/footballfield/sun_aegayohtofbvbdoa.jpg,False,2,intrusion,4342.699999928474,wind,551.8999999761581,4894.599999904633
wae5ba04,toilet,../static/stimuli/images/bookstore/sun_arnqlbdckkrvjqjj.jpg,True,2,other,9406.700000047684,person,1999.8999999761581,11406.600000023842
wae5ba04,flower,../static/stimuli/images/volcano/sun_abmqyijpgbakeqkm.jpg,False,2,correct,2654.2999999523163,flower,3799.7000000476837,6454.0
wae5ba04,candle,../static/stimuli/images/shoppingmall/sun_asbknkxckcdqmjml.jpg,False,2,intrusion,2237.5,wind,472.2999999523163,2709.7999999523163
wae5ba04,lawn,../static/stimuli/images/temple/sun_ahuwbjbhgegvnlsq.jpg,False,2,intrusion,3263.0,frog,535.8000000715256,3798.8000000715256
wae5ba04,volcano,../static/stimuli/images/underwater/sun_ajzucqttdjcknlvx.jpg,False,2,intrusion,3606.600000023842,hat,519.8999999761581,4126.5
wae5ba04,bread,../static/stimuli/images/kitchen/sun_alazdvaixpjtegwg.jpg,False,2,intrusion,2846.2999999523163,bake,2016.1000000238419,4862.399999976158
wae5ba04,egg,../static/stimuli/images/sky/sun_abbtimwgskvvaeps.jpg,True,2,intrusion,4542.299999952316,cat,1903.8000000715256,6446.100000023842
wae5ba04,apple,../static/stimuli/images/castle/sun_aoguwxhjirnhxsgn.jpg,False,2,intrusion,2238.600000023842,barn,631.8999999761581,2870.5
wae5ba04,horse,../static/stimuli/images/restaurant/sun_advrksojohxolufo.jpg,False,2,intrusion,3743.399999976158,frog,775.8999999761581,4519.299999952316
wae5ba04,ear,../static/stimuli/images/waterfall/sun_adtiwvbnsxsyohuw.jpg,False,2,intrusion,5087.399999976158,hat,1256.0,6343.399999976158
wae5ba04,eye,../static/stimuli/images/railway/sun_aqddawzjzkqycxjc.jpg,False,2,correct,3957.8000000715256,eye,504.09999990463257,4461.899999976158
