wid,word,image,practice,word_type,rt,typing_rt,response,type_time,response_type
wdd65643,transplant,../static/stimuli/images/subway/sun_agpnhsuccwnvcjwe.jpg,False,low,1,3272.0,transplant,6098.700000047684,correct
wdd65643,scenery,../static/stimuli/images/warehouse/sun_ainoacwsquefrlbr.jpg,False,low,1,2368.0,scenery,5591.600000023842,correct
wdd65643,villain,../static/stimuli/images/roof/sun_asrztwexxagrlhem.jpg,False,low,1,2731.0,villain,5956.0,correct
wdd65643,magazine,../static/stimuli/images/sky/sun_aemltyubcdmxluwx.jpg,False,high,1,,,,timeout
wdd65643,pitchfork,../static/stimuli/images/theater/sun_alttxbnfjyibouth.jpg,False,high,1,,,,timeout
wdd65643,chimney,../static/stimuli/images/ranch/sun_ajrpvgxcgeblwooh.jpg,False,high,1,6616.0,chimney,9226.5,correct
wdd65643,baby,../static/stimuli/images/house/sun_aswyksckmfyarwfk.jpg,False,high,1,2120.0,baby,3285.9000000953674,correct
wdd65643,tart,../static/stimuli/images/musuem/sun_akxippvbzxkxmejj.jpg,False,low,1,1519.0,tart,3004.2000000476837,correct
wdd65643,tulip,../static/stimuli/images/windmill/sun_awjnichhcaunlnrz.jpg,False,high,1,,,,timeout
wdd65643,barracuda,../static/stimuli/images/tenniscourt/sun_aizsvornuhzvyvhc.jpg,False,high,1,4306.0,barracuda,7143.0,correct
wdd65643,stranger,../static/stimuli/images/gym/sun_aljefikdfqefidfc.jpg,False,low,1,202.0,stranger,4502.100000023842,correct
wdd65643,finger,../static/stimuli/images/tower/sun_asjapgpmkkhijtma.jpg,False,high,0,1846.0,finger,2965.2000000476837,correct
wdd65643,major,../static/stimuli/images/temple/sun_ardesvcosqecvbes.jpg,False,low,1,,,,timeout
wdd65643,donor,../static/stimuli/images/underwater/sun_axbjbqawtejfugwt.jpg,False,low,1,,,,timeout
wdd65643,cookie,../static/stimuli/images/railway/sun_azmvasvseueupvyd.jpg,False,high,1,978.0,suburbs,6230.299999952316,intrusion
wdd65643,bug,../static/stimuli/images/bookstore/sun_avsybhiblxqxcayh.jpg,False,high,1,1954.0,,,timeout
wdd65643,elephant,../static/stimuli/images/vineyard/sun_apdbcyzwitltnzyz.jpg,False,high,1,14357.0,,,timeout
wdd65643,cactus,../static/stimuli/images/downtown/sun_abosdjemftsczdvd.jpg,False,high,1,227.0,,,timeout
wdd65643,suburb,../static/stimuli/images/street/sun_aaeryjozzmanouqj.jpg,False,low,1,188.0,,,timeout
wdd65643,penguin,../static/stimuli/images/restaurant/sun_aejvqzvtonxptams.jpg,False,high,1,,,,timeout
wdd65643,atom,../static/stimuli/images/laundryroom/sun_aenyfwnevttqnhhe.jpg,False,low,1,,,,timeout
wdd65643,hamburger,../static/stimuli/images/greenhouse/sun_amgolruftenzsoay.jpg,False,high,1,198.0,baby,4572.100000023842,intrusion
