wid,word,image,practice,block,word_type,rt,typing_rt,response,type_time,response_type
w81e5ffa,atom,../static/stimuli/images/castle/sun_aoguwxhjirnhxsgn.jpg,True,1,low,4,9352.0,octopus,9348.0,intrusion
w81e5ffa,stairs,../static/stimuli/images/downtown/sun_bshiuzzrrjsniwbh.jpg,False,1,high,2,5949.0,baby,5947.5,intrusion
w81e5ffa,follower,../static/stimuli/images/ziggurat/fig1.png,False,1,low,2,7414.0,patience,7412.400000095367,other
w81e5ffa,stable,../static/stimuli/images/volcano/sun_abmqyijpgbakeqkm.jpg,False,1,low,1,,,,timeout
w81e5ffa,community,../static/stimuli/images/pool/sun_abmafiafisngvteo.jpg,False,1,low,2,9514.0,atom,9512.799999952316,intrusion
w81e5ffa,tomato,../static/stimuli/images/windmill/sun_awjnichhcaunlnrz.jpg,False,1,high,2,14796.0,,,timeout
w81e5ffa,cactus,../static/stimuli/images/skiresort/sun_ahlksvwmghqfwqtw.jpg,False,1,high,2,14837.0,cactus,14835.5,correct
w81e5ffa,quill,../static/stimuli/images/river/sun_abktmmreusnujejq.jpg,False,1,high,2,4914.0,atom,4912.200000047684,intrusion
w81e5ffa,lover,../static/stimuli/images/underwater/sun_ajbkjsrhukffyqix.jpg,False,1,low,2,6916.0,octopus,6914.799999952316,intrusion
w81e5ffa,pig,../static/stimuli/images/bookstore/sun_azkcgugtqfaunxwq.jpg,False,1,high,2,15038.0,,,timeout
w81e5ffa,antelope,../static/stimuli/images/tower/sun_asjapgpmkkhijtma.jpg,False,1,high,2,6249.0,donor,6247.0,intrusion
w81e5ffa,strawberry,../static/stimuli/images/greenhouse/sun_bmkhcqoxkpbmqplr.jpg,False,1,high,2,9402.0,strawberry,9400.399999856949,correct
w81e5ffa,dandelion,../static/stimuli/images/waterfall/sun_acijjmbhzvfdnsrt.jpg,False,1,high,2,9985.0,dandelion,9983.400000095367,correct
w81e5ffa,fellow,../static/stimuli/images/laundryroom/sun_abdhkuiitfxcgncb.jpg,False,1,low,2,14585.0,,,timeout
w81e5ffa,penguin,../static/stimuli/images/airport/sun_aonhxkxmksvewqlr.jpg,False,1,high,2,14035.0,parrot,14032.799999952316,intrusion
w81e5ffa,daisy,../static/stimuli/images/restaurant/sun_adozleohzzjtcftc.jpg,False,1,high,2,13772.0,daisy,13770.800000190735,correct
w81e5ffa,banana,../static/stimuli/images/tenniscourt/sun_abhryuvnxasmofva.jpg,False,1,high,2,10797.0,elephant,10795.399999856949,intrusion
w81e5ffa,walrus,../static/stimuli/images/forest/sun_almbxcurjahdxery.jpg,False,1,high,2,9424.0,walrus,9422.599999904633,correct
w81e5ffa,octopus,../static/stimuli/images/grocery/sun_aczzweebuokhxnbb.jpg,False,1,high,2,10147.0,stable,10145.0,intrusion
w81e5ffa,grizzly,../static/stimuli/images/computerroom/sun_aagspgyvjmoiytfb.jpg,False,1,low,2,14807.0,grizly,14805.200000047684,correct
w81e5ffa,tart,../static/stimuli/images/campsite/sun_asbhlaoploqpjahx.jpg,False,1,low,2,9624.0,tart,9622.199999809265,correct
w81e5ffa,parrot,../static/stimuli/images/railway/sun_aqddawzjzkqycxjc.jpg,False,1,high,2,10963.0,parrot,10960.799999952316,correct
w81e5ffa,captive,../static/stimuli/images/auditorium/sun_ahwnrxacspjqqqfm.jpg,False,1,low,2,10452.0,captives,10449.900000095367,correct
w81e5ffa,agent,../static/stimuli/images/street/sun_aqzrscvtljhimvtf.jpg,False,1,low,2,,,,timeout
w81e5ffa,traitor,../static/stimuli/images/roof/sun_ajxjjpvulhilcwcy.jpg,False,1,low,2,8066.0,atom,8063.100000143051,intrusion
w81e5ffa,patient,../static/stimuli/images/musuem/sun_agblrnoilxeknben.jpg,False,1,low,2,,,,timeout
w81e5ffa,bed,../static/stimuli/images/house/sun_awyiuqdptibtzfuh.jpg,False,1,high,2,11863.0,bed,11860.799999952316,correct
w81e5ffa,personnel,../static/stimuli/images/kitchen/sun_avlgzqfdedxwbiei.jpg,False,1,low,2,14743.0,,,timeout
w81e5ffa,baby,../static/stimuli/images/ranch/sun_adlocewvkpbsaigj.jpg,False,1,high,2,6635.0,baby,6632.900000095367,correct
w81e5ffa,chimney,../static/stimuli/images/vineyard/sun_adcctdabyxmhioeg.jpg,False,1,high,2,14882.0,,,timeout
w81e5ffa,refrigerator,../static/stimuli/images/theater/sun_awkfdodvwaaleezx.jpg,False,1,high,2,12696.0,empire,12693.699999809265,intrusion
w81e5ffa,empire,../static/stimuli/images/beach/sun_aatjakozddkxujut.jpg,False,1,low,1,12466.0,agent,12464.300000190735,intrusion
w81e5ffa,villain,../static/stimuli/images/warehouse/sun_abdmrgvlsfpsgxyu.jpg,False,1,low,2,12220.0,villian,12218.099999904633,other
w81e5ffa,elephant,../static/stimuli/images/footballfield/sun_aegayohtofbvbdoa.jpg,False,1,high,2,13815.0,elephant,13812.899999856949,correct
w81e5ffa,vagrant,../static/stimuli/images/shoppingmall/sun_asbknkxckcdqmjml.jpg,False,1,low,2,14542.0,vagrant,14540.0,correct
w81e5ffa,ear,../static/stimuli/images/sky/sun_aczjsyhtqawbyyer.jpg,False,1,high,2,4622.0,space,4619.5,other
w81e5ffa,winner,../static/stimuli/images/gym/sun_appsvbfzhwrmtrje.jpg,False,1,low,2,5684.0,work,5681.200000047684,other
w81e5ffa,ghost,../static/stimuli/images/temple/sun_apdrdxoeskjgfrbj.jpg,False,1,low,2,11151.0,ghost,11148.200000047684,correct
w81e5ffa,electron,../static/stimuli/images/garage/sun_djtxkmtcichrbudp.jpg,False,1,low,2,4082.0,play,4079.899999856949,other
w81e5ffa,donor,../static/stimuli/images/subway/sun_amwmhabnpkxinmtz.jpg,False,1,low,2,12472.0,donor,12469.299999952316,correct
w81e5ffa,stable,../static/stimuli/images/volcano/sun_abmqyijpgbakeqkm.jpg,False,2,low,3,11430.0,stable,11427.299999952316,correct
w81e5ffa,electron,../static/stimuli/images/garage/sun_djtxkmtcichrbudp.jpg,False,2,low,2,12781.0,electron,12779.700000047684,correct
w81e5ffa,elephant,../static/stimuli/images/footballfield/sun_aegayohtofbvbdoa.jpg,False,2,high,1,14450.0,elephant,14449.099999904633,correct
