word,pRecall,Size,Animacy,nLet,nSyl,WFlog,CDlog,Prevalence,ONsize,AoA,Concreteness,NoF,BOI,Arousal,Valence,Dominance,Graspability,Pantomime,Action,Danger,Usefulness
ALMANAC,0.671875,0.587301587,0.016853933,7,3,1.643452676,1.447158031,1.515403192,0,10.58,4.44,18,5.5,4.39,5.67,5.88,NaN,NaN,NaN,NaN,NaN
ALMOND,0.75,0.962406015,0.25,6,2,1.755874856,1.62324929,2.323955536,0,7.67,4.71,NaN,5.714285714,4.43,6.15,6.46,NaN,NaN,NaN,NaN,NaN
AMBULANCE,0.714285714,0.11627907,0.066666667,9,3,3.058426024,2.862131379,2.244302146,0,6.16,4.81,18,5,7.1,3.91,3.29,3.034482759,4.71875,2.785714286,2.827586207,4.457142857
ANCESTOR,0.892857143,0.089552239,0.802325581,8,3,1.939519253,1.755874856,2.175349171,0,8.61,3.24,18,NaN,4.73,6.07,4.81,NaN,NaN,NaN,NaN,NaN
ANCHOR,0.670454545,0.205298013,0.093167702,6,2,2.57863921,2.276461804,2.19381311,0,5.72,4.77,10,5.739130435,4.36,5.12,5.29,4.034482759,4.827586207,2.03030303,2.15625,3.9
ANGEL,0.7,0.158536585,0.738738739,5,2,3.60129931,3.046495164,2.226693847,1,4,3.82,14,2.04,4.05,7.13,5.9,NaN,NaN,NaN,NaN,NaN
ANIMAL,0.703296703,0.159891599,0.93877551,6,3,3.36567514,3.137670537,2.438224232,1,2.89,4.61,28,5.958333333,5.14,6.35,5.72,NaN,NaN,NaN,NaN,NaN
ANKLE,0.681818182,0.916666667,0.303482587,5,2,2.612783857,2.457881897,2.329618892,5,4.89,4.81,16,5.833333333,4.53,5.23,5.58,NaN,NaN,NaN,NaN,NaN
ANT,0.779069767,0.950617284,0.855123675,3,1,2.437750563,2.049218023,2.103929292,12,4.32,4.86,14,4.84,5.18,4.04,5.3,5.448275862,4.034482759,2.03030303,2.1875,3.3
ANTEATER,0.717948718,0.142414861,0.937078652,8,3,1.079181246,1.079181246,1.606049532,0,8.5,4.86,9,3.913043478,5.16,4.99,NaN,NaN,NaN,NaN,NaN,NaN
ANTELOPE,0.711538462,0.067484663,0.964912281,8,3,1.707570176,1.531478917,2.435363235,0,8.39,5,10,3.75,4.56,5.81,5.57,NaN,NaN,NaN,NaN,NaN
ANTENNA,0.698113208,0.62962963,0.108527132,7,3,2.089905111,1.913813852,2.433287722,0,7.05,4.75,NaN,4.695652174,4.78,5.19,5.67,NaN,NaN,NaN,NaN,NaN
ANTLER,0.7,0.272727273,0.208333333,6,2,1.204119983,1.146128036,2.112695185,2,6.39,4.86,9,NaN,5.05,5.22,NaN,NaN,NaN,NaN,NaN,NaN
APARTMENT,0.708333333,0.048780488,0.073529412,9,3,3.626955951,3.249198357,2.444885938,0,7.8,4.9,18,4.6,4.67,5.35,5.33,2.586206897,3.206896552,3.696969697,1.625,3.966666667
APE,0.70212766,0.114285714,0.958333333,3,1,2.693726949,2.240549248,2.330993649,13,5.89,4.79,10,3.869565217,5.87,5.51,5.38,NaN,NaN,NaN,NaN,NaN
APPENDAGE,0.766233766,0.519230769,0.293333333,9,3,1.342422681,1.255272505,2.002996492,0,11.58,4.26,11,5,5.14,4.83,5.32,NaN,NaN,NaN,NaN,NaN
APPLE,0.732673267,0.94893617,0.497354497,5,2,3.082066934,2.838849091,2.575829304,2,4.15,5,17,6.272727273,4.54,6.86,6.44,6.103448276,4.875,2.928571429,1.344827586,3.485714286
APPLICATION,0.62,0.776859504,0.027777778,11,4,2.7084209,2.550228353,2.575829304,0,9.39,3.4,17,NaN,5.24,5.05,4.3,NaN,NaN,NaN,NaN,NaN
APRON,0.717171717,0.703056769,0.03030303,5,2,2.136720567,2.033423755,2.441505434,2,6.75,4.87,14,5.96,4.07,5.29,5.28,6.172413793,5.068965517,2,1.28125,2.333333333
ARCHITECT,0.777777778,0.064516129,0.912727273,9,3,2.525044807,2.230448921,2.424663531,0,10.12,3.74,16,4.208333333,5.1,5.79,6.05,NaN,NaN,NaN,NaN,NaN
ARENA,0.616438356,0.060606061,0.097222222,5,3,2.269512944,2.068185862,2.083586432,0,9.57,4.83,20,NaN,5.89,5.51,6.04,NaN,NaN,NaN,NaN,NaN
ARM,0.8,0.394285714,0.417721519,3,1,3.523356207,3.289142836,2.263698296,7,3.26,4.96,6,6.47826087,4.61,5.44,6.02,NaN,NaN,NaN,NaN,NaN
ARMY,0.851851852,0.064327485,0.635220126,4,2,3.640580806,3.178113252,2.425338529,2,7.15,4.7,12,3.48,6.64,4.76,4.65,NaN,NaN,NaN,NaN,NaN
ARROW,0.716981132,0.75,0.02020202,5,2,2.603144373,2.29666519,2.339766982,0,6.07,4.97,9,4.92,5.83,5.17,5.53,NaN,NaN,NaN,NaN,NaN
