wid,practice,presentation_times,first_seen,first_word,second_word,choice,choice_rt,typing_rt,word,response,response_rt,response_type
wc3a8220,True,"[711.4450000226498, 784.2200000304729, 436.37499993201345, 1855.5100000230595]",left,pig,scenery,right,3787.5500000081956,4791.165000060573,scenery,scenery,6046.115000033751,correct
wc3a8220,False,"[792.7749999798834, 767.3949999734759, 968.8150000292808, 670.5150000052527, 1133.5099999560043]",left,pizza,empire,left,4333.009999943897,5040.440000011586,pizza,pizza,6139.229999971576,correct
wc3a8220,False,"[445.5150000285357, 372.28499993216246, 326.82000007480383, 913.8749999692664]",left,personnel,bed,right,2058.4950000047684,2915.335000026971,bed,bed,3357.9199999803677,correct
wc3a8220,False,"[544.1300000529736, 563.4749999735504, 273.00499996636063, 739.8850000463426]",left,seagull,captive,right,2120.4950000392273,2748.245000024326,captive,captive,3894.925000029616,correct
wc3a8220,False,"[449.2499999469146, 783.6749999551103, 270.2300000237301, 1752.2850000532344]",left,major,apple,right,3255.4399999789894,3834.2549999943003,apple,apple,5050.889999954961,correct
wc3a8220,False,"[427.6049999753013, 353.9650000166148, 228.17500005476177, 647.2849999554455, 904.854999971576]",left,lover,cauliflower,left,2561.8849999736995,3277.7050000149757,lover,lover,4069.7800000198185,correct
wc3a8220,False,"[585.7349999714643, 489.6149999694899, 291.09499999322, 688.8050000416115]",left,pitchfork,villain,right,2055.2499999757856,2623.7649999093264,villain,villain,4051.2249999446794,correct
wc3a8220,False,"[362.70499997772276, 367.5400000065565, 1259.5599999185652, 1637.7300000749528, 829.9399999668822]",left,antelope,patient,left,4457.474999944679,5758.604999980889,antelope,antelope,7417.259999900125,correct
wc3a8220,False,"[489.65500004123896, 530.2949999459088, 155.7550000725314, 906.3499999465421, 1258.559999987483, 1414.8450000211596, 2335.8899999875575, 836.9650000240654, 1530.8550000190735, 520.3899999614805]",left,frog,permit,right,9979.56000000704,11021.905000088736,permit,friend,13036.350000067614,other
wc3a8220,False,"[488.0849999608472, 392.86500005982816, 1510.0099999690428, 1347.6599999703467]",left,gravel,virus,right,3738.619999960065,4314.494999940507,virus,virus,5192.704999935813,correct
w0d244c0,True,[1750.4949998110533],left,suburb,finger,left,1750.4949998110533,2644.574999809265,suburb,suburb,4181.409999728203,correct
w0d244c0,False,"[3377.394999843091, 1235.5550001375377]",left,well,bed,left,4612.9499999806285,6291.574999690056,well,well,9390.814999584109,correct
w0d244c0,False,"[972.5100002251565, 2449.839999899268, 3179.4400000944734, 3671.5499996207654]",left,electron,carrot,left,10273.339999839664,11600.070000160486,electron,electron,13747.47999990359,correct
w0d244c0,False,"[534.429999999702, 840.1899999007583]",left,quill,application,left,1374.6199999004602,2945.1199998147786,quill,quill,4153.579999692738,correct
w0d244c0,False,"[524.2850002832711, 2438.7099999003112]",left,patient,frog,right,2962.9950001835823,4161.749999970198,frog,frog,4804.035000037402,correct
w0d244c0,False,"[519.4399999454618, 1274.7450000606477]",left,rouge,bug,left,1794.1850000061095,2408.6700002662838,rouge,rouge,3989.564999938011,correct
w0d244c0,False,"[554.5900003053248, 1241.9900000095367]",left,cue,penguin,left,1796.5800003148615,2381.9600003771484,cue,cue,2848.6800002865493,correct
w0d244c0,False,"[517.2900003381073, 1710.8999998308718]",left,follower,house,right,2228.190000168979,2772.7350001223385,house,house,5916.240000165999,correct
w0d244c0,False,"[354.8750001937151, 1186.625000089407]",left,scenery,pitchfork,left,1541.500000283122,2071.2700001895428,scenery,scenery,3383.8599999435246,correct
w0d244c0,False,"[585.105000063777, 1506.0399998910725]",left,fellow,antelope,right,2091.1449999548495,3371.27499980852,antelope,antelope,4631.719999946654,correct
w8157ec1,True,"[1727.2250000096392, 784.1349999944214, 1631.9900000089547]",left,vagrant,banana,left,4143.350000013015,9271.390000008978,vagrant,,10815.500000011525,empty
w8157ec1,False,[1919.915000005858],left,tomato,patient,left,1919.915000005858,2223.7650000024587,tomato,TOMATO,3935.859999997774,other
w8157ec1,False,[],,,,left,,,stairs,,,empty
w8157ec1,False,"[2119.7549999924377, 2760.0450000027195, 1583.9100000011967, 1103.994999997667, 1608.04000000644]",left,jeans,rebel,left,9175.745000000461,10095.83500000008,jeans,JEANS,10751.694999999017,other
