wid,test_type,overlay,train_presentation_duration,recall_time,afc_time,afc_bonus_time,n_pair,n_repeat,n_distractor,bonus_rate_critical,bonus_rate_afc,bonus_rate_distractor,bonus_rate_speed,afc_scores,completed,bonus,version,math_correct
wdcb5cc1,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'house': 7.1977120189354835, 'major': 7.156771808398539, 'virus': 6.843748688038559, 'stairs': 6.9793207424137975, 'tulip': 7.3794901127576935, 'vagrant': 7.0654678981211845, 'mister': 6.751807626588898, 'parrot': 6.989584394683818, 'ozone': 6.929932441102939, 'idol': 6.929364378377959, 'agent': 7.018379169057352, 'pizza': 6.911364103205931, 'strawberry': 6.953740083691339, 'chimney': 7.223075956529428, 'baby': 6.732075641763835, 'society': 6.702992077099428, 'scenery': 6.9113153862390355, 'dandelion': 7.223051531197956, 'ghost': 6.624418015058905, 'quill': 7.156450322568598, 'community': 7.226322036766168, 'pillow': 6.707506950700193, 'octopus': 6.766846460085424, 'pitchfork': 6.729605765420526, 'application': 6.958400092146867, 'personnel': 7.101022408071004, 'ear': 7.064405159078256, 'flower': 6.8723721856541475, 'cue': 6.806363796620533, 'empire': 7.068501399396424, 'crook': 7.215249135857182, 'fellow': 6.6370790835808515, 'volunteer': 6.836416080709572, 'electron': 6.669115550416088, 'shoelace': 6.902247410326326, 'hero': 7.008371325067887, 'apple': 7.219522060587988, 'tomato': 6.897144170178282, 'eagle': 6.731229008743014, 'saxophone': 6.88728689619946}",True,1.94,v3.6,10.0
w7b630ba,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'goddess': 6.859820994625949, 'consumer': 7.04720127232094, 'dandelion': 6.927794010080283, 'tiger': 6.726769549774705, 'elbow': 7.006931005796299, 'sand': 6.624352331586628, 'enemy': 7.094735772397306, 'daisy': 6.912140945592745, 'empire': 6.786237494176675, 'transplant': 6.871669757260843, 'pizza': 6.725485377492237, 'idol': 6.892727485618771, 'follower': 7.388935552732242, 'ear': 6.5820633192907705, 'captive': 6.751252028574282, 'atom': 6.824170900751213, 'community': 6.807641857742593, 'tomato': 6.732660713491483, 'vagrant': 6.836208622492747, 'rouge': 6.557038870854741, 'frog': 6.784649994096202, 'apple': 6.720543123605076, 'scenery': 6.881251718907056, 'volunteer': 6.733752002488885, 'tractor': 6.9154388689468815, 'elephant': 6.892661493285728, 'agent': 6.7943391779839075, 'seagull': 6.828251338384066, 'finger': 6.92305963541494, 'flower': 6.649667238643815, 'saxophone': 6.53404505428902, 'stranger': 6.788126931321862, 'rebel': 6.742634981799871, 'pitchfork': 6.877581092989675, 'scapegoat': 6.844144030550885, 'society': 6.878668907090696, 'eagle': 6.857862506228035, 'pig': 6.672232599404716, 'electron': 6.761218984678603, 'antelope': 6.88664796249511}",True,1.92,v3.6,6.0
we259d03,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'strawberry': 6.680551917141863, 'daisy': 6.838265866505783, 'finger': 7.007103003278125, 'chimney': 6.86054866407969, 'barracuda': 7.109268763176632, 'department': 7.043517085094725, 'tart': 6.736012235654187, 'pizza': 6.578246516540333, 'donor': 7.279371154787594, 'ghost': 6.705062248805497, 'elbow': 7.140038699377395, 'rebel': 6.651740281669078, 'cauliflower': 6.826011475844665, 'captive': 6.567436091253267, 'tomato': 6.7572829810529, 'horse': 7.0701026916333545, 'personnel': 6.883503794739336, 'stranger': 7.362517798319476, 'virus': 6.813878616541917, 'mister': 6.988669315892515, 'scenery': 6.869690835527194, 'saxophone': 6.645826910309322, 'critic': 6.961192373929655, 'bed': 6.968616906355735, 'transplant': 6.871560445498948, 'idol': 6.74195989035545, 'pig': 6.855265972608791, 'ear': 6.7096904332709855, 'gravel': 6.844916488214449, 'cue': 6.6839471906938215, 'crook': 6.815724892083815, 'patient': 7.233007324436675, 'follower': 6.753051414240223, 'antelope': 6.769618967263381, 'tiger': 6.664942906426886, 'bug': 6.8146257381892426, 'volunteer': 6.607359032913171, 'cookie': 6.649149435828497, 'consumer': 6.714526032476759, 'parrot': 6.566178922963857}",True,1.94,v3.6,9.0
we5637cb,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'daisy': 7.221176468779146, 'stranger': 7.212432476161205, 'major': 6.6836846061978, 'vagrant': 7.362023631935859, 'tart': 6.7741792413466015, 'application': 6.655802127104205, 'pizza': 7.037395797333939, 'rouge': 6.730250337941915, 'ear': 6.858242594606916, 'stable': 7.24281766291107, 'society': 6.771606052463587, 'dandelion': 6.990851619046373, 'apple': 6.955195377257145, 'pillow': 6.6227388102684595, 'tractor': 7.054101875415751, 'flower': 6.986222469996446, 'atom': 7.042060777365958, 'parrot': 6.8783485804623625, 'donor': 7.797073896243458, 'finger': 6.868587084339581, 'magazine': 7.076910936383839, 'ozone': 6.907416300013771, 'frog': 7.2139223266868875, 'tulip': 7.011870938095878, 'department': 7.2063517210065156, 'traitor': 7.625331892181985, 'saxophone': 6.854819657967631, 'horse': 6.66900891419798, 'seagull': 6.82014994962239, 'roost': 7.099849352180136, 'elbow': 7.4950568810784866, 'transplant': 7.073875934339235, 'pitchfork': 6.845471913392031, 'eagle': 6.814152914745603, 'patient': 7.033236055069119, 'goddess': 6.769214768008059, 'consumer': 6.950888248201611, 'mister': 7.28274799187029, 'keeper': 7.4992548305777404, 'bed': 7.149578902988355}",True,1.77,v3.6,9.0
wc494dd0,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'captive': 6.90765255482205, 'shoelace': 6.842385901788009, 'ozone': 6.6052185070046034, 'barracuda': 6.491990753009435, 'handkerchief': 6.775516717088565, 'suburb': 6.71725882881091, 'pizza': 6.738546033162375, 'flower': 7.204654810779953, 'virus': 6.65908143197677, 'stable': 7.094003615287935, 'goat': 6.984604085099747, 'fellow': 7.476649421716725, 'pitchfork': 6.8598553739034145, 'elephant': 6.721970912400081, 'tractor': 6.875919928720205, 'walrus': 6.914696647452047, 'department': 6.919334106212556, 'eagle': 7.060735119690133, 'society': 7.1554883284222335, 'tread': 6.8876647038474035, 'seagull': 7.04029152145226, 'ear': 6.92694565401793, 'transplant': 6.890232970260501, 'elbow': 6.813909853447733, 'tulip': 6.797883702991428, 'lover': 6.780169597675552, 'scapegoat': 6.855161909902839, 'community': 6.7622645357861835, 'follower': 7.078065801300075, 'house': 6.893024219343617, 'critic': 6.966553778653559, 'crook': 6.953790541144936, 'banana': 6.673599070127921, 'winner': 6.756530158995719, 'major': 6.7809071181520215, 'roost': 6.948440320297202, 'tart': 6.795835594250048, 'penguin': 6.605426818564386, 'frog': 6.852549173691256, 'stairs': 7.039448572255741}",True,1.9,v3.6,8.0
w9f35141,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'saxophone': 6.732729824001166, 'virus': 6.6543825370198055, 'permit': 6.762574949978535, 'goat': 6.749720884801126, 'hero': 6.679576518649483, 'crook': 6.585037883103865, 'refrigerator': 6.684612747848658, 'quill': 6.797865558282633, 'penguin': 6.659511653980721, 'lover': 6.601869215175161, 'ear': 6.524714929389501, 'application': 6.664084560468244, 'villain': 6.547205913086042, 'scapegoat': 6.658158431738525, 'captive': 6.710219277347005, 'tread': 6.668177082995531, 'empire': 6.579086739212456, 'seagull': 6.562818404647349, 'octopus': 6.722580616886955, 'magazine': 6.56072856325779, 'walrus': 6.853005268416524, 'tractor': 6.777839320164624, 'antelope': 6.819834248191731, 'cactus': 6.7236322917404, 'personnel': 6.722037289249016, 'scenery': 6.8749069880530245, 'tiger': 6.677438929574152, 'follower': 6.60911127590625, 'cauliflower': 6.682237340619778, 'gravel': 6.676169397428342, 'society': 6.583532720268468, 'sand': 6.672395059457031, 'strawberry': 6.664541396255476, 'major': 6.69649298642949, 'volunteer': 6.807648873021894, 'tulip': 6.590829527444787, 'critic': 6.563430043775057, 'fellow': 6.6716204362527565, 'shoelace': 6.622017333455304, 'agent': 6.694459844005293}",True,1.95,v3.6,9.0
w163a343,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'apple': 6.899753293984247, 'atom': 7.314311152783667, 'neck': 7.347742045436678, 'volunteer': 7.063417055234208, 'rouge': 7.212799271508014, 'fellow': 7.241614689773969, 'captive': 7.024415290368693, 'traitor': 7.575153862342518, 'idol': 7.197401936070868, 'flower': 7.0876798352019525, 'editorial': 7.241295376317293, 'elbow': 7.3532509768575345, 'electron': 6.841561195720877, 'permit': 7.277232954637507, 'pitchfork': 7.225991527016497, 'barracuda': 7.157104160613322, 'donor': 7.354334571541204, 'pillow': 7.306271767047735, 'virus': 6.854854593265728, 'department': 6.862444280928049, 'cauliflower': 6.713215438144471, 'ghost': 7.037954261237233, 'application': 6.9556093999568915, 'enemy': 7.146876057572485, 'tractor': 7.074606215188921, 'personnel': 6.926707989124158, 'horse': 6.927676693110275, 'stable': 6.80741416405746, 'saxophone': 6.948258939427153, 'strawberry': 6.849079454528883, 'bed': 6.760720593035027, 'tomato': 7.067899333173322, 'shoelace': 6.953712102132193, 'scapegoat': 6.998424431998881, 'dandelion': 6.966458010239012, 'antelope': 7.309119261391516, 'chimney': 7.184431317922005, 'seagull': 6.869847696882524, 'banana': 7.181382944285931, 'winner': 6.8004094306271305}",True,1.85,v3.6,4.0
w0cef94a,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'shoelace': 7.8873433853896495, 'department': 7.355260765133625, 'donor': 7.321023031327241, 'idol': 7.9832745523955, 'critic': 7.6625058853281685, 'tomato': 7.216142039273191, 'barracuda': 7.729357432203602, 'sand': 7.147160324760144, 'grizzly': 7.179946374424216, 'keeper': 7.735103597413269, 'personnel': 7.754785370044796, 'winner': 7.208950244830764, 'tread': 7.279673610508731, 'jeans': 7.229531222737758, 'fellow': 7.462676154488219, 'baby': 7.489455015282868, 'pig': 7.48068040966112, 'application': 7.655125932632956, 'pizza': 7.224993231882255, 'mister': 7.474358103230325, 'strawberry': 7.545766680564366, 'electron': 6.956833447407853, 'frog': 7.020965749846886, 'ear': 7.153734903445943, 'goddess': 7.162941236328886, 'major': 7.478502783423082, 'magazine': 7.405583549956401, 'antelope': 7.208138330511307, 'volunteer': 7.652910363221143, 'seagull': 7.053187213238682, 'bug': 7.315957239255922, 'enemy': 7.297465025922317, 'chimney': 7.165029962385117, 'parrot': 7.5643416576249365, 'pitchfork': 6.980801226704473, 'ghost': 7.410758637345741, 'pillow': 7.33655837575446, 'hero': 7.424187677237859, 'handkerchief': 7.525454062875334, 'villain': 8.274947986590936}",True,1.84,v3.6,6.0
w22a09e3,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'carrot': 7.196701780332233, 'refrigerator': 7.222289979781597, 'well': 7.486326539008904, 'rebel': 7.044707770028718, 'goat': 7.074454409490797, 'gravel': 7.824781952509563, 'empire': 7.725774146665131, 'barracuda': 7.209763349328205, 'cauliflower': 7.244295840597498, 'agent': 7.2235461407603445, 'pitchfork': 7.207258774174878, 'bed': 7.099006116288973, 'lover': 7.110725076006296, 'critic': 7.576593358838319, 'keeper': 7.577074419745038, 'flower': 7.19874886728735, 'walrus': 6.974932611975209, 'quill': 7.257112239671602, 'villain': 6.7372579037057525, 'shoelace': 7.439778805382154, 'daisy': 7.060497230735483, 'consumer': 6.879720850814931, 'octopus': 6.875361702918924, 'cactus': 6.760743252117102, 'elbow': 6.917579220216051, 'enemy': 6.801654980049373, 'follower': 7.340979824617616, 'saxophone': 6.90348246622752, 'house': 7.113237847332985, 'hero': 6.7920194233054945, 'magazine': 7.0862044012270005, 'vagrant': 7.124854996848264, 'society': 7.160695313530556, 'atom': 7.305455169610911, 'traitor': 6.9141766554458135, 'banana': 6.939239509434496, 'fellow': 7.286259709401025, 'mister': 7.40614476296109, 'captive': 7.343175575950034, 'goddess': 7.110834589796745}",True,1.83,v3.6,8.0
w96547ae,multi-recall,True,2000,15000,,5000,20,2,10,2,1,1,0.25,"{'permit': 7.517067344040538, 'application': 7.652148461343138, 'donor': 7.387244637823168, 'flower': 7.291063479940398, 'agent': 7.4139534951054955, 'rouge': 7.372055355812609, 'consumer': 7.1842560932725625, 'tread': 7.250912904463667, 'quill': 7.601674451560707, 'scapegoat': 7.235789904839318, 'penguin': 7.083839948221105, 'hero': 7.454680074480783, 'territory': 7.154048932212774, 'pitchfork': 7.651914078718428, 'shoelace': 7.629758123929281, 'idol': 7.219924287044603, 'cue': 7.46847552398101, 'horse': 7.306682258698689, 'pig': 7.475448195110889, 'ghost': 7.2439605455056215, 'frog': 7.050441194177509, 'cactus': 7.3358716977490195, 'tomato': 7.250268096807908, 'neck': 7.216050171353307, 'cookie': 7.526555538957587, 'walrus': 7.1656774714158, 'pizza': 8.225678520808913, 'editorial': 8.643770404224261, 'lover': 7.2158665230010675, 'volunteer': 7.267740443300842, 'hamburger': 7.258517744388027, 'bug': 7.294691993593183, 'villain': 7.396196923978651, 'antelope': 7.9794530932057555, 'finger': 7.520035273969388, 'department': 7.73876833482828, 'magazine': 7.990586807807868, 'captive': 7.189905404964409, 'mister': 8.039024026033482, 'tiger': 7.261847365252907}",True,1.74,v3.6,0.0
