wid,test_type,overlay,train_presentation_duration,recall_time,afc_bonus_time,n_pair,n_repeat,n_distractor,bonus_rate_critical,bonus_rate_afc,bonus_rate_distractor,bonus_rate_speed,bonus,completed,version,math_correct
w38506a1,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.16,True,v2.0,6.0
wbb22c91,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.17,True,v2.0,5.0
wc6776ed,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.19,True,v2.0,9.0
wa3a9fbf,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.12,True,v2.0,6.0
w2fea219,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.85,True,v2.0,6.0
w6328966,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.12,True,v2.0,6.0
w610ac08,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.09,True,v2.0,1.0
w542b0d4,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.1,True,v2.0,5.0
w9f9c8fd,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.08,True,v2.0,7.0
w126eb9b,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.1,True,v2.0,8.0
wb784b75,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.15,True,v2.0,5.0
wac30389,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.0,True,v2.0,7.0
wc7e05ce,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.2,True,v2.0,6.0
wc508460,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.0,False,v2.0,
w91cc94a,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.11,True,v2.0,5.0
wfad51c3,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.1,True,v2.0,9.0
wf71fce3,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.04,True,v2.0,9.0
wbf06556,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.14,True,v2.0,6.0
wf75e211,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.15,True,v2.0,6.0
w75e7012,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.04,True,v2.0,8.0
w3a9b288,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.18,True,v2.0,10.0
w12ea039,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.97,True,v2.0,6.0
w7752b77,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.12,True,v2.0,8.0
w5f4991c,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.18,True,v2.0,8.0
wf8c2cb3,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.17,True,v2.0,5.0
w794431a,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.18,True,v2.0,8.0
w023e936,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.0,False,v2.0,
w5ff679d,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,0.0,False,v2.0,
w336d989,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.18,True,v2.0,7.0
w06a179e,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.12,True,v2.0,10.0
w4d0a3f5,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.16,True,v2.0,6.0
w67d723f,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.19,True,v2.0,7.0
w872ec73,simple,True,3000,10000,5000,10,3,10,2,1,1,0.25,1.11,True,v2.0,7.0
