wid,duration,presentation,n_pres,pretest_accuracy_first,pretest_accuracy_second,response_type,choose_first,trial_id
wf1e76ec,741.2999999523163,1,8,0,1,correct,FALSE,1
wf1e76ec,559.5,2,8,0,1,correct,FALSE,1
wf1e76ec,2,3,8,0,1,correct,FALSE,1
wf1e76ec,653.1000001430511,4,8,0,1,correct,FALSE,1
wf1e76ec,461.09999990463257,5,8,0,1,correct,FALSE,1
wf1e76ec,321.2999999523163,6,8,0,1,correct,FALSE,1
wf1e76ec,239.5,7,8,0,1,correct,FALSE,1
wf1e76ec,2699.100000143051,8,8,0,1,correct,FALSE,1
wf1e76ec,309.19999980926514,1,3,0,0,intrusion,TRUE,2
wf1e76ec,361.80000019073486,2,3,0,0,intrusion,TRUE,2
wf1e76ec,2398.0999999046326,3,3,0,0,intrusion,TRUE,2
wf1e76ec,1735.9000000953674,1,5,1,1,correct,TRUE,3
wf1e76ec,735.9000000953674,2,5,1,1,correct,TRUE,3
wf1e76ec,264,3,5,1,1,correct,TRUE,3
wf1e76ec,433.2999999523163,4,5,1,1,correct,TRUE,3
wf1e76ec,468.2999999523163,5,5,1,1,correct,TRUE,3
wf1e76ec,908.9000000953674,1,3,0.5,0.5,correct,TRUE,4
wf1e76ec,278.2999999523163,2,3,0.5,0.5,correct,TRUE,4
wf1e76ec,543.6000001430511,3,3,0.5,0.5,correct,TRUE,4
wf1e76ec,600.5,1,3,1,1,correct,TRUE,5
wf1e76ec,308.2999999523163,2,3,1,1,correct,TRUE,5
wf1e76ec,1325.7999999523163,3,3,1,1,correct,TRUE,5
wf1e76ec,319.7999999523163,1,3,1,1,correct,TRUE,6
wf1e76ec,468.2000000476837,2,3,1,1,correct,TRUE,6
wf1e76ec,738.4000000953674,3,3,1,1,correct,TRUE,6
wf1e76ec,160.20000004768372,1,3,1,1,correct,TRUE,7
wf1e76ec,470.7000000476837,2,3,1,1,correct,TRUE,7
wf1e76ec,561.2000000476837,3,3,1,1,correct,TRUE,7
wf1e76ec,324.5,1,3,1,0.5,correct,TRUE,8
wf1e76ec,746.3000001907349,2,3,1,0.5,correct,TRUE,8
wf1e76ec,1453.7999999523163,3,3,1,0.5,correct,TRUE,8
wf1e76ec,366.90000009536743,1,3,0.5,0,intrusion,TRUE,9
wf1e76ec,866.0999999046326,2,3,0.5,0,intrusion,TRUE,9
wf1e76ec,2917.9000000953674,3,3,0.5,0,intrusion,TRUE,9
wf1e76ec,117.40000009536743,1,3,1,0.5,correct,TRUE,10
wf1e76ec,337.59999990463257,2,3,1,0.5,correct,TRUE,10
wf1e76ec,590.7999999523163,3,3,1,0.5,correct,TRUE,10
wf1e76ec,78.29999995231628,1,3,1,0.5,correct,TRUE,11
wf1e76ec,480.10000014305115,2,3,1,0.5,correct,TRUE,11
wf1e76ec,655,3,3,1,0.5,correct,TRUE,11
wf1e76ec,199,1,4,0.5,1,correct,FALSE,12
wf1e76ec,276.39999985694885,2,4,0.5,1,correct,FALSE,12
wf1e76ec,258.7000000476837,3,4,0.5,1,correct,FALSE,12
wf1e76ec,625,4,4,0.5,1,correct,FALSE,12
wf1e76ec,137.29999995231628,1,3,1,1,correct,TRUE,13
wf1e76ec,289.2999999523163,2,3,1,1,correct,TRUE,13
wf1e76ec,595.7000000476837,3,3,1,1,correct,TRUE,13
wf1e76ec,12.799999952316284,1,4,1,0.5,correct,FALSE,14
wf1e76ec,314.09999990463257,2,4,1,0.5,correct,FALSE,14
wf1e76ec,233,3,4,1,0.5,correct,FALSE,14
wf1e76ec,738.9000000953674,4,4,1,0.5,correct,FALSE,14
wf1e76ec,53.299999952316284,1,3,1,1,correct,TRUE,15
wf1e76ec,382.09999990463257,2,3,1,1,correct,TRUE,15
wf1e76ec,689.7999999523163,3,3,1,1,correct,TRUE,15
wf1e76ec,175.59999990463257,1,3,1,1,correct,TRUE,16
wf1e76ec,334.10000014305115,2,3,1,1,correct,TRUE,16
wf1e76ec,438,3,3,1,1,correct,TRUE,16
wf1e76ec,263.5,1,2,0.5,1,correct,FALSE,17
wf1e76ec,948.7000000476837,2,2,0.5,1,correct,FALSE,17
wf1e76ec,280.59999990463257,1,2,0,1,correct,FALSE,18
wf1e76ec,870,2,2,0,1,correct,FALSE,18
wf1e76ec,113.60000014305115,1,3,1,1,correct,TRUE,19
wf1e76ec,449.09999990463257,2,3,1,1,correct,TRUE,19
wf1e76ec,604.2999999523163,3,3,1,1,correct,TRUE,19
w1e27c75,9.599999994039536,1,3,1,1,correct,TRUE,20
w1e27c75,341,2,3,1,1,correct,TRUE,20
w1e27c75,1835.4000000059605,3,3,1,1,correct,TRUE,20
w1e27c75,2887.7999999821186,1,1,1,1,correct,TRUE,21
w1e27c75,1612,1,1,1,0,correct,TRUE,22
w1e27c75,1211.800000011921,1,1,1,1,correct,TRUE,23
w1e27c75,1063.7000000178814,1,3,1,1,correct,TRUE,24
w1e27c75,1762.699999988079,2,3,1,1,correct,TRUE,24
w1e27c75,316.59999999403954,3,3,1,1,correct,TRUE,24
w1e27c75,1111.9000000059605,1,1,1,1,correct,TRUE,25
w1e27c75,1018.6999999880791,1,1,1,1,correct,TRUE,26
w1e27c75,1321.300000011921,1,1,1,1,correct,TRUE,27
w1e27c75,1390.2999999821186,1,2,1,1,correct,FALSE,28
w1e27c75,1579.2000000178814,2,2,1,1,correct,FALSE,28
w1e27c75,693.7999999821186,1,2,1,1,correct,FALSE,29
w1e27c75,1733.300000011921,2,2,1,1,correct,FALSE,29
w1e27c75,990.5,1,3,1,1,correct,TRUE,30
w1e27c75,826.7999999821186,2,3,1,1,correct,TRUE,30
w1e27c75,729.6000000238419,3,3,1,1,correct,TRUE,30
w1e27c75,1000,1,1,0,1,other,TRUE,31
w1e27c75,1377.5999999940395,1,1,1,1,correct,TRUE,32
w1e27c75,1293.0999999940395,1,3,1,1,correct,TRUE,33
w1e27c75,906.8000000119209,2,3,1,1,correct,TRUE,33
w1e27c75,720.8000000119209,3,3,1,1,correct,TRUE,33
