,Q0,Q1,Q2,Q3,Q4
0,Most did not match the picture at all,no,no,no,no
1,I tried not to ,no ,no ,no,"what counts as a ""quick response""?"
2,some were repeated,no,no,no,it was fun!
3,No,No,No,No,survey was fun and interesting 
4,odd groupings of letters,good instructions,no,no,no
5,,,,,
6,no,no,no,no,no
7,,,,,
8,The words that flashed in the last test round seemed non-sensical to me. I did not even recognize them as words. ,Nope. ,Nope. ,Nope.,Nope. 
