wid,word,image,practice,block,typing_rt,response,type_time,rt,response_type,judgement,correct,pretest_accuracy,strength
wa170917,computer,../static/stimuli/images/street/sun_aadhshmrjrbucdky.jpg,FALSE,0,6511,hat,2217,6511,intrusion,1,FALSE,0.5,0.3551286638012451
wa170917,pig,../static/stimuli/images/underwater/sun_azotfggtynldgbwm.jpg,FALSE,0,2231,tree,1437,2231,other,1,FALSE,0,-0.9429584061143443
wa170917,jeans,../static/stimuli/images/volcano/sun_aetnikjhplqgsznx.jpg,FALSE,0,8261,duck,2276,8261,intrusion,1,FALSE,0,-0.9429584061143443
wa170917,lawn,../static/stimuli/images/airport/sun_akhqgzrrubgnwzpa.jpg,FALSE,0,7906,hat,3781,7906,intrusion,1,FALSE,0,-0.9429584061143443
wa170917,cake,../static/stimuli/images/beach/sun_aafwmyqvqgtvdkce.jpg,FALSE,0,6982,hat,1394,6982,intrusion,1,FALSE,0,-0.9429584061143443
wa170917,dog,../static/stimuli/images/laundryroom/sun_dgpgttfvjctszkzz.jpg,FALSE,0,4557,door,1530,4557,intrusion,1,FALSE,0,-0.9429584061143443
wa170917,nut,../static/stimuli/images/warehouse/sun_aboqyhgpfgwxwmut.jpg,FALSE,0,2719,nut,1178,2719,correct,5,TRUE,0.5,0.5131134640151225
wa170917,horse,../static/stimuli/images/ranch/sun_amqejeymhjlanyvr.jpg,FALSE,0,9862,hat,1497,9862,intrusion,1,FALSE,0.5,-0.11822275070371392
wa170917,candle,../static/stimuli/images/forest/sun_almbxcurjahdxery.jpg,FALSE,0,3719,car,1270,3719,other,1,FALSE,0.5,0.021679310371994612
wa170917,door,../static/stimuli/images/kitchen/sun_asrcfjusjydonoin.jpg,FALSE,0,2335,door,1425,2335,correct,1,TRUE,0,-0.9429584061143443
wa170917,heart,../static/stimuli/images/computerroom/sun_aagspgyvjmoiytfb.jpg,FALSE,0,1639,heart,2325,1639,correct,5,TRUE,1,1.2408684326996051
wa170917,hat,../static/stimuli/images/sky/sun_aczjsyhtqawbyyer.jpg,FALSE,0,3982,hat,1282,3982,correct,5,TRUE,1,1.4548515773270843
wa170917,apple,../static/stimuli/images/vineyard/sun_azygdhuijrbfollv.jpg,FALSE,0,7095,apple,1878,7095,correct,5,TRUE,0.5,0.6047618981811754
wa170917,hay,../static/stimuli/images/garage/sun_djtxkmtcichrbudp.jpg,FALSE,0,3688,stair,2078,3688,other,1,FALSE,0,-0.9429584061143443
wa170917,milk,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,FALSE,0,8310,bone,1678,8310,intrusion,1,FALSE,0,-0.9429584061143443
wa170917,fence,../static/stimuli/images/castle/sun_alevmcaohaqqwlic.jpg,FALSE,0,2180,fence,1927,2180,correct,1,TRUE,0.5,0.6177885789735812
wa170917,flower,../static/stimuli/images/gym/sun_awstzxompuovdfck.jpg,FALSE,0,3246,car,1220,3246,other,1,FALSE,0,-0.9429584061143443
wa170917,sand,../static/stimuli/images/downtown/sun_bzwgvgvsqqpbjfwc.jpg,FALSE,0,4247,sand,2266,4247,correct,5,TRUE,0,-0.9429584061143443
wa170917,snake,../static/stimuli/images/restaurant/sun_aiyfhlpenzexmqoi.jpg,FALSE,0,2754,cup,1674,2754,other,1,FALSE,0.5,-0.014354391513532603
wa170917,bee,../static/stimuli/images/railway/sun_aprfapnfngmvbixm.jpg,FALSE,0,8782,drop,3134,8782,other,1,FALSE,1,1.0154423180655057
wa170917,ear,../static/stimuli/images/river/sun_abktmmreusnujejq.jpg,FALSE,0,3846,pig,1394,3846,intrusion,1,FALSE,0,-0.9429584061143443
wa170917,duck,../static/stimuli/images/skiresort/sun_aijypnsissxbdxyj.jpg,FALSE,0,5522,duck,2295,5522,correct,5,TRUE,0.5,0.47482179521354645
wa170917,bone,../static/stimuli/images/footballfield/sun_aegayohtofbvbdoa.jpg,FALSE,0,NA,NA,NA,NA,timeout,NA,FALSE,0,-0.9429584061143443
wa170917,puzzle,../static/stimuli/images/pool/sun_aexdaltifheurhfa.jpg,FALSE,0,7761,puzzle,3309,7761,correct,5,TRUE,0.5,-0.07794815473899351
wa170917,eye,../static/stimuli/images/roof/sun_awskptrfuzjyjwes.jpg,FALSE,0,6136,floor,1661,6136,other,1,FALSE,0,-0.9429584061143443
wa170917,truck,../static/stimuli/images/grocery/sun_attfybmngdqnppeu.jpg,FALSE,0,1305,truck,4070,1305,correct,5,TRUE,1,2.9182348050663096
wa170917,lion,../static/stimuli/images/greenhouse/sun_bmnxsjsqwqcaluzf.jpg,FALSE,0,7023,bed,1005,7023,intrusion,1,FALSE,1,1.1279550393386424
wa170917,bag,../static/stimuli/images/musuem/sun_alsgupdkmpsptlos.jpg,FALSE,0,3423,bag,1513,3423,correct,5,TRUE,0.5,0.5076699738239784
wa170917,bear,../static/stimuli/images/windmill/sun_aagvxopinmvnjsdt.jpg,FALSE,0,6995,bear,1624,6995,correct,5,TRUE,1,1.6405398022108775
wa170917,bread,../static/stimuli/images/ziggurat/sun_aecdvzqgcesggjrp.jpg,FALSE,0,3594,jeans,2234,3594,intrusion,5,FALSE,1,0.8148758309718367
