wid,word,image,practice,block,typing_rt,response,type_time,rt,response_type,judgement,correct,pretest_accuracy,strength
wa170917,bird,../static/stimuli/images/tower/sun_akmnewliaqefdugs.jpg,FALSE,0,5133,bird,2096,5133,correct,5,TRUE,0.5,0.2473554052056094
wa170917,cat,../static/stimuli/images/waterfall/sun_awrontvhyysjfacv.jpg,FALSE,0,2443,ear,2663,2443,intrusion,5,FALSE,0,-0.9429584061143443
wa170917,potato,../static/stimuli/images/subway/sun_abufzioeatuizeoh.jpg,FALSE,0,5645,man,1599,5645,other,1,FALSE,0.5,-0.11627751035559056
wa170917,rabbit,../static/stimuli/images/house/sun_aahrslvfecptaudk.jpg,FALSE,0,2914,car,1235,2914,other,1,FALSE,0,-0.9429584061143443
wa170917,volcano,../static/stimuli/images/auditorium/sun_amogjvmhqoxmxbyg.jpg,FALSE,0,6174,eye,1369,6174,intrusion,5,FALSE,1,1.428812726326522
wa170917,egg,../static/stimuli/images/theater/sun_abldnlzotzlgclky.jpg,FALSE,0,4609,eye,1372,4609,intrusion,5,FALSE,0,-0.9429584061143443
wa170917,drink,../static/stimuli/images/campsite/sun_arwteuvpegqctvcg.jpg,FALSE,0,4116,drink,2762,4116,correct,5,TRUE,1,0.430237683548699
w3449f83,toilet,../static/stimuli/images/airport/sun_aelkzcvlquyyzxlu.jpg,FALSE,0,1832.0999999046328,toilet,1334.3000001907349,1832.0999999046328,correct,5,TRUE,1,1.742136534659435
w3449f83,computer,../static/stimuli/images/laundryroom/sun_acnrhsgylwftewpq.jpg,FALSE,0,1839.3999998569489,NA,0,1839.3999998569489,empty,1,FALSE,0,-0.6689036993084527
w3449f83,milk,../static/stimuli/images/vineyard/sun_axkbfhmkopqemnsq.jpg,FALSE,0,1432.3999998569489,milk,1254.4000000953674,1432.3999998569489,correct,5,TRUE,1,1.8606747065028226
w3449f83,bear,../static/stimuli/images/forest/sun_arwykvgzpgybhibg.jpg,FALSE,0,1535.7999999523165,bear,1966.5,1535.7999999523165,correct,5,TRUE,1,1.5843297750495293
w3449f83,eye,../static/stimuli/images/waterfall/sun_acmlcxobalurtcmq.jpg,FALSE,0,4342.799999952316,NA,0.20000004768371585,4342.799999952316,empty,1,FALSE,0,-0.6689036993084527
w3449f83,window,../static/stimuli/images/ziggurat/fig1.png,FALSE,0,1525.5999999046326,window,1566.5,1525.5999999046326,correct,5,TRUE,1,1.6991187867960222
w3449f83,duck,../static/stimuli/images/restaurant/sun_antpdwvuouhlqmvh.jpg,FALSE,0,1503.3000001907349,duck,1166.2999999523165,1503.3000001907349,correct,5,TRUE,1,1.494281708011188
w3449f83,snake,../static/stimuli/images/subway/sun_abufzioeatuizeoh.jpg,FALSE,0,2867.5,NA,0.20000004768371585,2867.5,empty,2,FALSE,0,-0.6689036993084527
w3449f83,cake,../static/stimuli/images/tenniscourt/sun_abhryuvnxasmofva.jpg,FALSE,0,2874.7999999523163,NA,1092.4000000953674,2874.7999999523163,empty,2,FALSE,0,-0.6689036993084527
w3449f83,horse,../static/stimuli/images/campsite/sun_amejpvolcgftwwch.jpg,FALSE,0,3183.5,NA,0.20000004768371585,3183.5,empty,1,FALSE,0,-0.6689036993084527
w3449f83,jeans,../static/stimuli/images/volcano/sun_axyqizdexdgrtfie.jpg,FALSE,0,4359.799999952316,NA,0.09999990463256836,4359.799999952316,empty,2,FALSE,0,-0.6689036993084527
w3449f83,volcano,../static/stimuli/images/musuem/sun_alsgupdkmpsptlos.jpg,FALSE,0,2097.2000000476837,volcano,1909.2000000476835,2097.2000000476837,correct,3,TRUE,0.5,0.37662647313811254
w3449f83,door,../static/stimuli/images/castle/sun_alevmcaohaqqwlic.jpg,FALSE,0,1989.5,NA,0.20000004768371585,1989.5,empty,1,FALSE,0,-0.6689036993084527
w3449f83,flower,../static/stimuli/images/pool/sun_argikopryamoycho.jpg,FALSE,0,2128.2999999523163,flower,1134.0999999046326,2128.2999999523163,correct,3,TRUE,1,0.9911601247727218
w3449f83,pig,../static/stimuli/images/street/sun_agtpyiscmdidhpgk.jpg,FALSE,0,2189.900000095367,dog,599.2000000476837,2189.900000095367,intrusion,2,FALSE,0,-0.6689036993084527
w3449f83,candle,../static/stimuli/images/bookstore/sun_auwghripdoxzluuk.jpg,FALSE,0,1280.4000000953674,candle,1622.3999998569489,1280.4000000953674,correct,5,TRUE,1,1.729772208847018
w3449f83,bed,../static/stimuli/images/auditorium/sun_aiheutdgogkujwri.jpg,FALSE,0,1468.5,NA,0.09999990463256836,1468.5,empty,1,FALSE,0,-0.6689036993084527
w3449f83,bee,../static/stimuli/images/underwater/sun_axctpftepdlenuoo.jpg,FALSE,0,1062.6999998092651,NA,0.3000001907348633,1062.6999998092651,empty,1,FALSE,0,-0.6689036993084527
w3449f83,fence,../static/stimuli/images/footballfield/sun_ahqkbelqgjflpbjo.jpg,FALSE,0,1489.0999999046326,fence,1380.7000000476835,1489.0999999046326,correct,5,TRUE,1,1.6369715274600647
w3449f83,potato,../static/stimuli/images/downtown/sun_aljrvcabwnwkorml.jpg,FALSE,0,1350.7999999523165,NA,0.20000004768371585,1350.7999999523165,empty,1,FALSE,0,-0.6689036993084527
w3449f83,bag,../static/stimuli/images/skiresort/sun_ahlksvwmghqfwqtw.jpg,FALSE,0,1416.2999999523165,NA,0.3000001907348633,1416.2999999523165,empty,1,FALSE,0,-0.6689036993084527
w3449f83,bone,../static/stimuli/images/grocery/sun_acmmgshfrxgopxlk.jpg,FALSE,0,2295.900000095367,bone,838.5999999046326,2295.900000095367,correct,4,TRUE,1,0.6836984379457964
w3449f83,bird,../static/stimuli/images/railway/sun_aqddawzjzkqycxjc.jpg,FALSE,0,2039.5999999046328,cat,973.9000000953674,2039.5999999046328,intrusion,2,FALSE,0,-0.6689036993084527
w3449f83,nut,../static/stimuli/images/computerroom/sun_aiwdglrsrkkfbgzz.jpg,FALSE,0,1568.2000000476835,nut,582.7999999523163,1568.2000000476835,correct,5,TRUE,1,1.5239387531077742
w3449f83,bread,../static/stimuli/images/theater/sun_abnbylturqcwwiuz.jpg,FALSE,0,1311.2000000476835,NA,0.20000004768371585,1311.2000000476835,empty,1,FALSE,0,-0.6689036993084527
w3449f83,truck,../static/stimuli/images/kitchen/sun_axvexejcndazoqxl.jpg,FALSE,0,1319.5999999046326,NA,0.10000014305114746,1319.5999999046326,empty,1,FALSE,0,-0.6689036993084527
w3449f83,puzzle,../static/stimuli/images/ranch/sun_axqdjxmxvxjmytiu.jpg,FALSE,0,2473.399999856949,1,540.2000000476837,2473.399999856949,empty,1,FALSE,0,-0.6689036993084527
w3449f83,apple,../static/stimuli/images/river/sun_aztombwyhubhaynq.jpg,FALSE,0,2279.2000000476837,NA,0.09999990463256836,2279.2000000476837,empty,1,FALSE,0,-0.6689036993084527
w3449f83,egg,../static/stimuli/images/shoppingmall/sun_attlobbjfpnyzslo.jpg,FALSE,0,1439,NA,0.2999999523162842,1439,empty,1,FALSE,0,-0.6689036993084527
w3449f83,sand,../static/stimuli/images/temple/sun_ailcfqxmknysbavu.jpg,FALSE,0,1344,NA,0.20000004768371585,1344,empty,2,FALSE,0,-0.6689036993084527
w3449f83,lawn,../static/stimuli/images/beach/sun_acbeypdvskqxwbrf.jpg,FALSE,0,1654.6000001430511,NA,0.09999990463256836,1654.6000001430511,empty,2,FALSE,0,-0.6689036993084527
w3449f83,hay,../static/stimuli/images/windmill/sun_alrghzshdjgnywto.jpg,FALSE,0,1189.1999998092651,NA,0.20000004768371585,1189.1999998092651,empty,2,FALSE,0,-0.6689036993084527
w3449f83,ear,../static/stimuli/images/sky/sun_aemltyubcdmxluwx.jpg,FALSE,0,1638.5,NA,0.20000004768371585,1638.5,empty,1,FALSE,0,-0.6689036993084527
w3449f83,heart,../static/stimuli/images/gym/sun_agptlflfgabhuxym.jpg,FALSE,0,1477.9000000953674,heart,1310.7000000476835,1477.9000000953674,correct,4,TRUE,1,1.1659468254693974
w3449f83,lion,../static/stimuli/images/house/sun_awvfftwqwfbjqmmu.jpg,FALSE,0,1367.2000000476835,NA,0.2999999523162842,1367.2000000476835,empty,1,FALSE,0,-0.6689036993084527
w3449f83,cat,../static/stimuli/images/tower/sun_afjkdsegpwxewtah.jpg,FALSE,0,1149.0999999046326,NA,0.20000004768371585,1149.0999999046326,empty,1,FALSE,0.5,-0.43496707835699916
w3449f83,dog,../static/stimuli/images/greenhouse/sun_bmkhcqoxkpbmqplr.jpg,FALSE,0,3174.7999999523163,NA,0.20000004768371585,3174.7999999523163,empty,2,FALSE,0,-0.6689036993084527
w2eb0473,bird,../static/stimuli/images/theater/sun_acehmgvyiimdorgz.jpg,FALSE,0,1429.60000000149,bird,1151.2999999970198,1429.60000000149,correct,4,TRUE,1,0.8112409294834062
w2eb0473,duck,../static/stimuli/images/ziggurat/sun_apdphtulomykrqoa.jpg,FALSE,0,1294.800000000745,duck,792,1294.800000000745,correct,4,TRUE,1,0.6772719634930396
w2eb0473,computer,../static/stimuli/images/auditorium/sun_alpteetxpjmjcejm.jpg,FALSE,0,2106.900000002235,NA,0.09999999776482582,2106.900000002235,empty,2,FALSE,1,0.01933006289633707
w2eb0473,heart,../static/stimuli/images/beach/sun_aacgcodmtsyjjmbx.jpg,FALSE,0,1770.199999999255,heart,1076.300000000745,1770.199999999255,correct,4,TRUE,1,0.6114524016418733
w2eb0473,lion,../static/stimuli/images/subway/sun_axjlvqkyqahstpwg.jpg,FALSE,0,1234.800000000745,lion,939.10000000149,1234.800000000745,correct,4,TRUE,0.5,-0.14263953134190774
w2eb0473,bear,../static/stimuli/images/greenhouse/sun_amgolruftenzsoay.jpg,FALSE,0,1047.10000000149,bear,953.6999999992548,1047.10000000149,correct,4,TRUE,1,0.7237990357405131
w2eb0473,snake,../static/stimuli/images/tower/sun_altkfiythtxnptob.jpg,FALSE,0,1226.39999999851,snake,980.3000000007452,1226.39999999851,correct,3,TRUE,1,0.6653075394696966
w2eb0473,egg,../static/stimuli/images/waterfall/sun_ajezvlkzdsjjdnjm.jpg,FALSE,0,1279.5,egg,640.5,1279.5,correct,4,TRUE,1,0.7116437628171514
w2eb0473,bread,../static/stimuli/images/gym/sun_akecysmtkjijrbqr.jpg,FALSE,0,1523.2000000029802,NA,0.09999999776482582,1523.2000000029802,empty,1,FALSE,0,-1.383043148005493
w2eb0473,door,../static/stimuli/images/skiresort/sun_ancomucdrbxydgbi.jpg,FALSE,0,1314.5,door,730.8000000007451,1314.5,correct,3,TRUE,1,0.7331294327613479
w2eb0473,lawn,../static/stimuli/images/sky/sun_aeglnxtxlevipkzh.jpg,FALSE,0,1475.800000000745,NA,0.30000000074505806,1475.800000000745,empty,1,FALSE,1,0.23065353861133275
w2eb0473,jeans,../static/stimuli/images/castle/sun_aieefrkagxyksfuj.jpg,FALSE,0,1373.699999999255,NA,0.10000000149011612,1373.699999999255,empty,1,FALSE,0,-1.383043148005493
w2eb0473,nut,../static/stimuli/images/house/sun_awyiuqdptibtzfuh.jpg,FALSE,0,1516.800000000745,squirrel,1834,1516.800000000745,other,2,FALSE,0,-1.383043148005493
w2eb0473,horse,../static/stimuli/images/railway/sun_aqddawzjzkqycxjc.jpg,FALSE,0,1781.199999999255,horse,1420.199999999255,1781.199999999255,correct,2,TRUE,1,0.6519286838671524
w2eb0473,apple,../static/stimuli/images/musuem/sun_ayrwspiydnlwhouo.jpg,FALSE,0,1045.300000000745,apple,916.3000000007452,1045.300000000745,correct,3,TRUE,1,1.00197087215971
w2eb0473,toilet,../static/stimuli/images/bookstore/sun_aalyndhausktwxbc.jpg,FALSE,0,1195.199999999255,toilet,1220.5,1195.199999999255,correct,5,TRUE,1,0.8826759326550123
w2eb0473,truck,../static/stimuli/images/street/sun_amjwoyuxrszlicsb.jpg,FALSE,0,1534.10000000149,truck,1270.60000000149,1534.10000000149,correct,2,TRUE,1,0.8872839232447796
w2eb0473,fence,../static/stimuli/images/warehouse/sun_aadtsgkouwrqwvwl.jpg,FALSE,0,1318.10000000149,NA,0.1999999992549419,1318.10000000149,empty,1,FALSE,0,-1.383043148005493
w2eb0473,bag,../static/stimuli/images/roof/sun_awskptrfuzjyjwes.jpg,FALSE,0,2543.89999999851,NA,0.10000000149011612,2543.89999999851,empty,1,FALSE,0,-1.383043148005493
w2eb0473,cat,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,FALSE,0,1303.7000000029802,cat,604.2999999970198,1303.7000000029802,correct,3,TRUE,1,0.5159544915146358
w2eb0473,window,../static/stimuli/images/temple/sun_asirkyjruyeentuc.jpg,FALSE,0,1237.89999999851,window,1236.199999999255,1237.89999999851,correct,4,TRUE,1,0.90661943446026
w2eb0473,volcano,../static/stimuli/images/restaurant/sun_agizngsilvvsycgq.jpg,FALSE,0,1365.5,NA,0.1999999992549419,1365.5,empty,1,FALSE,0,-1.383043148005493
w2eb0473,ear,../static/stimuli/images/river/sun_aiazxjumlgdcrfpn.jpg,FALSE,0,1337.300000000745,ear,625.1999999992549,1337.300000000745,correct,3,TRUE,1,0.5255912324174825
w2eb0473,bed,../static/stimuli/images/footballfield/sun_afihcbvbdxmnexyh.jpg,FALSE,0,1120.7999999970198,NA,0.10000000149011612,1120.7999999970198,empty,1,FALSE,0,-1.383043148005493
w2eb0473,bee,../static/stimuli/images/laundryroom/sun_dgpgttfvjctszkzz.jpg,FALSE,0,1240.699999999255,bee,549.3000000007451,1240.699999999255,correct,5,TRUE,1,0.8799022971435214
w2eb0473,candle,../static/stimuli/images/downtown/sun_aljrvcabwnwkorml.jpg,FALSE,0,1240,candle,1016.6999999992548,1240,correct,4,TRUE,1,0.7374483206953477
w2eb0473,hay,../static/stimuli/images/campsite/sun_agkgjmhhyqowlmdm.jpg,FALSE,0,1201.7999999970198,hay,680.7000000029802,1201.7999999970198,correct,5,TRUE,1,0.8949249164533688
w2eb0473,potato,../static/stimuli/images/computerroom/sun_azkmsfiuzzekamsy.jpg,FALSE,0,1157.5999999977648,potato,1436.5,1157.5999999977648,correct,5,TRUE,1,0.9427547875750555
w2eb0473,rabbit,../static/stimuli/images/underwater/sun_alunasorzxjzhjbv.jpg,FALSE,0,1349,rabbit,1402.89999999851,1349,correct,2,TRUE,1,0.4097520868799158
w2eb0473,milk,../static/stimuli/images/shoppingmall/sun_ayhhurcrocmglxyx.jpg,FALSE,0,1202.199999999255,NA,0.20000000298023224,1202.199999999255,empty,1,FALSE,0,-1.383043148005493
w2eb0473,cake,../static/stimuli/images/ranch/sun_ajxvkybqisznlxgg.jpg,FALSE,0,1106.7000000029802,cake],740.1999999992549,1106.7000000029802,correct,5,TRUE,1,1.0441789280835265
w2eb0473,eye,../static/stimuli/images/grocery/sun_atlvleypygwzuszx.jpg,FALSE,0,1417.4000000022352,eye,878.5,1417.4000000022352,correct,4,TRUE,1,0.7667563416222102
w2eb0473,bone,../static/stimuli/images/pool/sun_aelfhlyhvuglfcha.jpg,FALSE,0,1300.5,NA,0.10000000149011612,1300.5,empty,1,FALSE,0,-1.383043148005493
w2eb0473,hat,../static/stimuli/images/forest/sun_atlxncsxfmqwisuw.jpg,FALSE,0,1372,NA,0.10000000149011612,1372,empty,1,FALSE,0,-1.383043148005493
w2eb0473,puzzle,../static/stimuli/images/vineyard/sun_agfdrmftdzokxtnc.jpg,FALSE,0,1131.89999999851,NA,0,1131.89999999851,empty,1,FALSE,0,-1.383043148005493
w2eb0473,dog,../static/stimuli/images/kitchen/sun_avlgzqfdedxwbiei.jpg,FALSE,0,1710.0999999977648,dog,641.9000000022352,1710.0999999977648,correct,5,TRUE,1,0.5075863917211306
w2eb0473,sand,../static/stimuli/images/volcano/sun_abmqyijpgbakeqkm.jpg,FALSE,0,1718.60000000149,NA,0.1999999992549419,1718.60000000149,empty,2,FALSE,0,-1.383043148005493
w8f13728,bear,../static/stimuli/images/grocery/sun_atlvleypygwzuszx.jpg,FALSE,0,5723.299999952316,bear,500.7999999523163,5723.299999952316,correct,4,TRUE,0.5,-0.7506822635342417
w8f13728,computer,../static/stimuli/images/sky/sun_aboqqlnpqcqfghfo.jpg,FALSE,0,11396.299999952316,NA,606.5,11396.299999952316,empty,1,FALSE,0,-1.7495287661960957
w8f13728,bed,../static/stimuli/images/beach/sun_aaapvfgggrgorgox.jpg,FALSE,0,4297.599999904633,bed,828.7999999523163,4297.599999904633,correct,4,TRUE,1,0.3962869333694933
w8f13728,heart,../static/stimuli/images/pool/sun_abmafiafisngvteo.jpg,FALSE,0,1407.2999999523165,heart,831.5,1407.2999999523165,correct,5,TRUE,1,0.48726225636821185
w8f13728,bag,../static/stimuli/images/footballfield/sun_afuzusgbewygvixv.jpg,FALSE,0,3150.800000190735,bag,320.89999985694885,3150.800000190735,correct,5,TRUE,1,0.2968319847121984
w8f13728,dog,../static/stimuli/images/roof/sun_aqxzijexicadnjja.jpg,FALSE,0,1515.2000000476835,dog,709.9000000953674,1515.2000000476835,correct,5,TRUE,1,0.5622402090733304
w8f13728,hay,../static/stimuli/images/computerroom/sun_aknbqkyjmltzjpuf.jpg,FALSE,0,1682.7999999523165,hay,585.7999999523163,1682.7999999523165,correct,5,TRUE,1,0.8865815996376195
w8f13728,pig,../static/stimuli/images/forest/sun_almbxcurjahdxery.jpg,FALSE,0,6843.900000095367,NA,0,6843.900000095367,empty,1,FALSE,0,-1.7495287661960957
w8f13728,egg,../static/stimuli/images/musuem/sun_agblrnoilxeknben.jpg,FALSE,0,1692.7999999523165,egg,651.7999999523163,1692.7999999523165,correct,5,TRUE,1,0.07141019501131414
w8f13728,potato,../static/stimuli/images/river/sun_aztombwyhubhaynq.jpg,FALSE,0,3728.099999904633,potato,1238.9000000953674,3728.099999904633,correct,4,TRUE,1,1.3090524832207087
w8f13728,drink,../static/stimuli/images/shoppingmall/sun_aradyzjpmslqqakf.jpg,FALSE,0,3391.7000000476837,drink,1141.7999999523165,3391.7000000476837,correct,5,TRUE,1,0.7812274252690962
w8f13728,sand,../static/stimuli/images/theater/sun_augboomebjfniikq.jpg,FALSE,0,2152.5,sand,431.2999999523163,2152.5,correct,4,TRUE,1,-0.16664099120934758
w8f13728,lawn,../static/stimuli/images/ranch/sun_airsfxbouimobamd.jpg,FALSE,0,5602,NA,0.10000014305114746,5602,empty,1,FALSE,0,-1.7495287661960957
w8f13728,window,../static/stimuli/images/volcano/sun_aojnxwnexkwltvvx.jpg,FALSE,0,8799.700000047684,NA,0,8799.700000047684,empty,1,FALSE,0,-1.7495287661960957
w8f13728,horse,../static/stimuli/images/garage/sun_daivjtyepudsqerl.jpg,FALSE,0,2351.7999999523163,horse,741.7000000476837,2351.7999999523163,correct,5,TRUE,1,0.3838031768356484
w8f13728,toilet,../static/stimuli/images/vineyard/sun_aotjqpvjaukupppc.jpg,FALSE,0,6236.600000143051,toilet,867.5999999046326,6236.600000143051,correct,4,TRUE,1,0.033091052051915974
w8f13728,apple,../static/stimuli/images/tenniscourt/sun_awnhgqbxdcyrgqvn.jpg,FALSE,0,6581.400000095367,NA,0,6581.400000095367,empty,1,FALSE,1,1.201967971488388
w8f13728,eye,../static/stimuli/images/downtown/sun_bshiuzzrrjsniwbh.jpg,FALSE,0,7106.299999952316,eye,1402.9000000953674,7106.299999952316,correct,3,TRUE,1,-0.17686905863238017
w8f13728,bird,../static/stimuli/images/subway/sun_aoelchwqhnnizmrp.jpg,FALSE,0,4155.900000095367,bird,649.5,4155.900000095367,correct,4,TRUE,0.5,-0.45728803597622414
w8f13728,flower,../static/stimuli/images/ziggurat/fig2.png,FALSE,0,3596.899999856949,flower,1281.9000000953674,3596.899999856949,correct,4,TRUE,1,-0.3681928133009706
w8f13728,bread,../static/stimuli/images/waterfall/sun_albucmtmstcfpynn.jpg,FALSE,0,4110.299999952316,bread,612.7999999523163,4110.299999952316,correct,4,TRUE,1,0.6779784118953898
w8f13728,puzzle,../static/stimuli/images/street/sun_aaeluqrkikjbtquv.jpg,FALSE,0,8750.900000095367,NA,0,8750.900000095367,empty,4,FALSE,0,-1.7495287661960957
w8f13728,lion,../static/stimuli/images/warehouse/sun_abqmsdjgfgnjjgzm.jpg,FALSE,0,3674,lion,874,3674,correct,4,TRUE,1,-0.7011604923585673
w8f13728,nut,../static/stimuli/images/kitchen/sun_akzumputqvdvtqbq.jpg,FALSE,0,8368.5,nut,669.6000001430511,8368.5,correct,3,TRUE,1,-0.6518393062266885
w8f13728,ear,../static/stimuli/images/campsite/sun_ahvodfpzghaczear.jpg,FALSE,0,1266.8000001907349,NA,0,1266.8000001907349,empty,1,FALSE,0,-1.7495287661960957
w8f13728,bee,../static/stimuli/images/gym/sun_akhyzejtqpynaepu.jpg,FALSE,0,2807.400000095367,bee,748.3999998569489,2807.400000095367,correct,5,TRUE,1,0.16641355405023714
w8f13728,truck,../static/stimuli/images/temple/sun_asirkyjruyeentuc.jpg,FALSE,0,2738.2999999523163,truck,704.0999999046326,2738.2999999523163,correct,3,TRUE,1,0.7082963993581248
w8f13728,cake,../static/stimuli/images/restaurant/sun_antpdwvuouhlqmvh.jpg,FALSE,0,2202.5,cake,409.5,2202.5,correct,3,TRUE,1,0.6242742845539911
w8f13728,cat,../static/stimuli/images/greenhouse/sun_bncgstrupskxwget.jpg,FALSE,0,2234.400000095367,cat,403.59999990463257,2234.400000095367,correct,5,TRUE,0.5,-0.9275165808108877
w8f13728,hat,../static/stimuli/images/house/sun_aangbuylfvckqqoo.jpg,FALSE,0,3266,hat,328,3266,correct,4,TRUE,1,0.1782429224613822
w8f13728,volcano,../static/stimuli/images/skiresort/sun_adyplaxglzqyoynb.jpg,FALSE,0,1233,volcano,958.3999998569489,1233,correct,5,TRUE,1,1.5867442041009576
w8f13728,bone,../static/stimuli/images/tower/sun_afyekzxxqtpzgqni.jpg,FALSE,0,1463.0999999046326,bone,489.7999999523163,1463.0999999046326,correct,4,TRUE,1,1.6985991705564962
w8f13728,duck,../static/stimuli/images/underwater/sun_axbjbqawtejfugwt.jpg,FALSE,0,8009.300000190735,duck,811.7999999523163,8009.300000190735,correct,3,TRUE,1,-0.27083448389630976
w8f13728,snake,../static/stimuli/images/windmill/sun_adstnygbbvkhooog.jpg,FALSE,0,1303.1000001430511,snake,610.3999998569489,1303.1000001430511,correct,5,TRUE,1,0.8657001949701946
w8f13728,rabbit,../static/stimuli/images/auditorium/sun_ahxfbcfdtvgnrivf.jpg,FALSE,0,6889.899999856949,rabbit,955,6889.899999856949,correct,3,TRUE,1,0.20832941401523156
w8f13728,candle,../static/stimuli/images/bookstore/sun_arnqlbdckkrvjqjj.jpg,FALSE,0,3866.300000190735,candle,806.1999998092651,3866.300000190735,correct,3,TRUE,1,0.8753885996205074
