wid,word,image,practice,block,typing_rt,response_type,response,type_time,rt
w1f6b455,drawer,../static/stimuli/images/tenniscourt/sun_akifkmvcnuzulsxa.jpg,False,3,9100.0,correct,draw,3911.0,13011.0
w1f6b455,recipe,../static/stimuli/images/roof/sun_aqhqmhidvlrpfhie.jpg,False,3,1249.0,correct,recipe,767.0,2015.0
w1f6b455,labyrinth,../static/stimuli/images/waterfall/sun_ajezvlkzdsjjdnjm.jpg,False,3,5012.0,correct,labyrinth,1923.0,6934.0
w1f6b455,tusk,../static/stimuli/images/garage/sun_deomonrjnryvglit.jpg,False,3,3601.0,correct,dusk,6681.0,10282.0
w1f6b455,conductor,../static/stimuli/images/theater/sun_abldnlzotzlgclky.jpg,False,3,1863.0,correct,conductor,919.0,2782.0
w1f6b455,statue,../static/stimuli/images/bookstore/sun_avqoszezjldwidcy.jpg,False,3,6839.0,empty,,0.0,6839.0
w1f6b455,boat,../static/stimuli/images/tower/sun_asjapgpmkkhijtma.jpg,False,3,1570.0,correct,boat,741.0,2311.0
w1f6b455,cape,../static/stimuli/images/castle/sun_alevmcaohaqqwlic.jpg,False,3,3172.0,intrusion,desk,1654.0,4826.0
w1f6b455,purse,../static/stimuli/images/footballfield/sun_aadxnjugrvhqyufw.jpg,False,3,2677.0,intrusion,pail,638.0,3315.0
w1f6b455,atlas,../static/stimuli/images/house/sun_awyiuqdptibtzfuh.jpg,False,3,6323.0,correct,atlas,5791.0,12114.0
w1f6b455,desk,../static/stimuli/images/gym/sun_auzbqfsaebhgtrig.jpg,False,3,1904.0,correct,desk,816.0,2720.0
w1f6b455,spatula,../static/stimuli/images/sky/sun_aeglnxtxlevipkzh.jpg,False,3,4000.0,intrusion,labyrinth,1537.0,5537.0
w1f6b455,board,../static/stimuli/images/musuem/sun_akxippvbzxkxmejj.jpg,False,3,953.0,correct,board,552.0,1505.0
w1f6b455,owner,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,3,1942.0,correct,owner,642.0,2585.0
w1f6b455,doorbell,../static/stimuli/images/vineyard/sun_aokkqrsxsvimuubo.jpg,False,3,2050.0,correct,doorbell,3750.0,5800.0
w1f6b455,board,../static/stimuli/images/musuem/sun_akxippvbzxkxmejj.jpg,False,3,934.0,correct,board,555.0,1490.0
w1f6b455,rabbit,../static/stimuli/images/grocery/sun_atlvleypygwzuszx.jpg,False,3,916.0,correct,rabbit,584.0,1500.0
w1f6b455,kite,../static/stimuli/images/computerroom/sun_akcjvpjqukkdanyo.jpg,False,3,936.0,intrusion,desk,1095.0,2031.0
w1f6b455,cape,../static/stimuli/images/castle/sun_alevmcaohaqqwlic.jpg,False,3,2540.0,intrusion,desk,526.0,3066.0
w1f6b455,palm,../static/stimuli/images/campsite/sun_amejpvolcgftwwch.jpg,False,3,2207.0,intrusion,door,484.0,2691.0
w1f6b455,van,../static/stimuli/images/airport/sun_akhqgzrrubgnwzpa.jpg,False,3,1407.0,correct,van,455.0,1862.0
w1f6b455,beast,../static/stimuli/images/underwater/sun_azotfggtynldgbwm.jpg,False,3,914.0,correct,beast,521.0,1435.0
w1f6b455,purse,../static/stimuli/images/footballfield/sun_aadxnjugrvhqyufw.jpg,False,3,1295.0,intrusion,pail,744.0,2039.0
w1f6b455,rake,../static/stimuli/images/street/sun_aqzrscvtljhimvtf.jpg,False,3,2585.0,intrusion,rabbit,822.0,3407.0
w1f6b455,recipe,../static/stimuli/images/roof/sun_aqhqmhidvlrpfhie.jpg,False,3,822.0,correct,recipe,866.0,1689.0
w1f6b455,giraffe,../static/stimuli/images/ranch/sun_ajrpvgxcgeblwooh.jpg,False,3,1191.0,correct,giraffe,875.0,2066.0
w1f6b455,bun,../static/stimuli/images/restaurant/sun_agxfoksoiibofpna.jpg,False,3,1364.0,correct,bun,374.0,1739.0
w1f6b455,brick,../static/stimuli/images/ziggurat/sun_acuzsqtazskbhhve.jpg,False,3,1350.0,correct,brick,668.0,2019.0
w1f6b455,desk,../static/stimuli/images/gym/sun_auzbqfsaebhgtrig.jpg,False,3,935.0,correct,desk,1047.0,1982.0
w1f6b455,boat,../static/stimuli/images/tower/sun_asjapgpmkkhijtma.jpg,False,3,1173.0,correct,boat,353.0,1526.0
w1f6b455,spatula,../static/stimuli/images/sky/sun_aeglnxtxlevipkzh.jpg,False,3,1756.0,intrusion,labyrinth,2516.0,4272.0
w1f6b455,jury,../static/stimuli/images/subway/sun_akifaegxlwcrziyq.jpg,False,3,1066.0,correct,jury,558.0,1624.0
w1f6b455,tea,../static/stimuli/images/temple/sun_avabexehmngnxjjr.jpg,False,3,892.0,correct,tea,367.0,1258.0
w1f6b455,cream,../static/stimuli/images/river/sun_ahmmzoezbuevqzjm.jpg,False,3,6832.0,intrusion,door,371.0,7203.0
w1f6b455,inventor,../static/stimuli/images/skiresort/sun_ahlksvwmghqfwqtw.jpg,False,3,1214.0,correct,inventor,1234.0,2448.0
w1f6b455,conductor,../static/stimuli/images/theater/sun_abldnlzotzlgclky.jpg,False,3,1304.0,correct,conductor,910.0,2214.0
w1f6b455,actor,../static/stimuli/images/pool/sun_amnkmeojepioccty.jpg,False,3,1054.0,correct,actor,950.0,2004.0
w1f6b455,cradle,../static/stimuli/images/greenhouse/sun_bmzsunjewvlfjojq.jpg,False,3,933.0,correct,cradle,712.0,1645.0
w1f6b455,wife,../static/stimuli/images/auditorium/sun_aiheutdgogkujwri.jpg,False,3,1172.0,correct,wife,303.0,1475.0
w1f6b455,statue,../static/stimuli/images/bookstore/sun_avqoszezjldwidcy.jpg,False,3,2853.0,intrusion,pale,376.0,3229.0
w1f6b455,pigment,../static/stimuli/images/volcano/sun_alxwigenocbauhzw.jpg,False,3,912.0,correct,pigment,651.0,1564.0
w1f6b455,labyrinth,../static/stimuli/images/waterfall/sun_ajezvlkzdsjjdnjm.jpg,False,3,1224.0,correct,labyrinth,1521.0,2746.0
w1f6b455,pail,../static/stimuli/images/kitchen/sun_aibgyrlkgcnwvhxl.jpg,False,3,2619.0,correct,pail,1094.0,3713.0
w1f6b455,owner,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,3,1042.0,correct,owner,439.0,1480.0
w1f6b455,tourist,../static/stimuli/images/beach/sun_aawqdbpihmlbwyyn.jpg,False,3,3823.0,correct,tourist,700.0,4523.0
w1f6b455,muffin,../static/stimuli/images/warehouse/sun_ainoacwsquefrlbr.jpg,False,3,1241.0,correct,muffin,658.0,1899.0
w1f6b455,atlas,../static/stimuli/images/house/sun_awyiuqdptibtzfuh.jpg,False,3,1628.0,correct,atlas,743.0,2371.0
w1f6b455,haystack,../static/stimuli/images/downtown/sun_axbzajoxhnjergfp.jpg,False,3,1487.0,intrusion,door,377.0,1864.0
w1f6b455,bottle,../static/stimuli/images/railway/sun_avugyywnswogxvlh.jpg,False,3,2670.0,intrusion,door,399.0,3069.0
w1f6b455,tusk,../static/stimuli/images/garage/sun_deomonrjnryvglit.jpg,False,3,1891.0,correct,rusk,3277.0,5167.0
w1f6b455,card,../static/stimuli/images/laundryroom/sun_dgpgttfvjctszkzz.jpg,False,3,2482.0,intrusion,rabbit,3191.0,5673.0
w1f6b455,drawer,../static/stimuli/images/tenniscourt/sun_akifkmvcnuzulsxa.jpg,False,3,4108.0,correct,draw,597.0,4704.0
w1f6b455,sweater,../static/stimuli/images/shoppingmall/sun_asbknkxckcdqmjml.jpg,False,3,1027.0,correct,sweater,934.0,1962.0
w1f6b455,door,../static/stimuli/images/windmill/sun_alrghzshdjgnywto.jpg,False,3,1890.0,correct,door,362.0,2252.0
wb0148ca,sugar,../static/stimuli/images/sky/sun_ampvdpptptmciwok.jpg,True,1,3592.0,other,orange,4419.0,8011.0
wb0148ca,goose,../static/stimuli/images/underwater/sun_aojrtoikxmtgzchi.jpg,False,1,2376.0,other,dove,1722.0,4099.0
wb0148ca,pistol,../static/stimuli/images/street/sun_amjwoyuxrszlicsb.jpg,False,1,1812.0,correct,pistol,1903.0,3715.0
wb0148ca,match,../static/stimuli/images/laundryroom/sun_adldglebrfdkcxwu.jpg,False,1,5091.0,other,wash,1072.0,6163.0
wb0148ca,clam,../static/stimuli/images/tower/sun_akmnewliaqefdugs.jpg,False,1,3660.0,intrusion,love,1397.0,5056.0
wb0148ca,bruise,../static/stimuli/images/campsite/sun_agjhcohmxuuaimig.jpg,False,1,3158.0,other,raft,888.0,4046.0
wb0148ca,sword,../static/stimuli/images/kitchen/sun_aibgyrlkgcnwvhxl.jpg,False,1,3408.0,intrusion,tomatoe,1718.0,5125.0
wb0148ca,message,../static/stimuli/images/ziggurat/sun_aiqkruqnfbmiiafv.jpg,False,1,2080.0,intrusion,mall,731.0,2812.0
wb0148ca,mall,../static/stimuli/images/subway/sun_akifaegxlwcrziyq.jpg,False,1,3467.0,other,train,1271.0,4738.0
wb0148ca,cobweb,../static/stimuli/images/gym/sun_agptlflfgabhuxym.jpg,False,1,2153.0,other,rum,791.0,2944.0
wb0148ca,chalk,../static/stimuli/images/vineyard/sun_azygdhuijrbfollv.jpg,False,1,1727.0,other,grass,1186.0,2912.0
wb0148ca,shortcake,../static/stimuli/images/railway/sun_asgcpxncztcqwiyz.jpg,False,1,4710.0,other,grace,2700.0,7410.0
wb0148ca,brook,../static/stimuli/images/grocery/sun_acmmgshfrxgopxlk.jpg,False,1,2831.0,other,raft,911.0,3742.0
wb0148ca,rocket,../static/stimuli/images/roof/sun_aqxzijexicadnjja.jpg,False,1,2358.0,intrusion,walf,1387.0,3745.0
wb0148ca,log,../static/stimuli/images/shoppingmall/sun_abmhoudmvlbwstuf.jpg,False,1,1942.0,intrusion,chair,1267.0,3209.0
wb0148ca,acorn,../static/stimuli/images/airport/sun_aajqjnzswlmdcmyl.jpg,False,1,1879.0,other,airport,2380.0,4258.0
wb0148ca,monkey,../static/stimuli/images/waterfall/sun_ahssvsymysusmiqw.jpg,False,1,1939.0,other,water,1256.0,3195.0
wb0148ca,driveway,../static/stimuli/images/greenhouse/sun_aqkjiolbtywtaxak.jpg,False,1,2779.0,intrusion,boom,1448.0,4227.0
wb0148ca,pier,../static/stimuli/images/musuem/sun_alsgupdkmpsptlos.jpg,False,1,2518.0,other,grain,1498.0,4015.0
wb0148ca,scallop,../static/stimuli/images/volcano/sun_axyqizdexdgrtfie.jpg,False,1,3155.0,intrusion,cool,1013.0,4168.0
wb0148ca,indian,../static/stimuli/images/computerroom/sun_ashjjvtrfwzoxxij.jpg,False,1,1734.0,intrusion,chair,1293.0,3027.0
wb0148ca,neutron,../static/stimuli/images/restaurant/sun_agizngsilvvsycgq.jpg,False,1,7860.0,intrusion,chair,1311.0,9171.0
wb0148ca,store,../static/stimuli/images/castle/sun_aoguwxhjirnhxsgn.jpg,False,1,2087.0,other,grass,1865.0,3952.0
wb0148ca,ancestor,../static/stimuli/images/pool/sun_aelfhlyhvuglfcha.jpg,False,1,5990.0,other,water,1131.0,7121.0
wb0148ca,panther,../static/stimuli/images/river/sun_auvfucpnqlcaddzs.jpg,False,1,2074.0,other,fish,3396.0,5470.0
wb0148ca,tomato,../static/stimuli/images/auditorium/sun_almcaxysfdwizxac.jpg,False,1,4717.0,correct,tomatoes,1722.0,6439.0
wb0148ca,spouse,../static/stimuli/images/ranch/sun_adlocewvkpbsaigj.jpg,False,1,2738.0,other,tree,1612.0,4350.0
wb0148ca,cousin,../static/stimuli/images/tenniscourt/sun_arhfignuhjkxcmvk.jpg,False,1,2033.0,intrusion,play,1481.0,3514.0
wb0148ca,collar,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,1,7693.0,other,tree,987.0,8680.0
wb0148ca,ski,../static/stimuli/images/warehouse/sun_ahkbykndmtongifl.jpg,False,1,,timeout,,,
wb0148ca,machine,../static/stimuli/images/skiresort/sun_adyplaxglzqyoynb.jpg,False,1,1540.0,intrusion,cool,907.0,2447.0
wb0148ca,vehicle,../static/stimuli/images/downtown/sun_bctdtcqciqgupefg.jpg,False,1,10516.0,intrusion,car,733.0,11248.0
wb0148ca,caterpillar,../static/stimuli/images/windmill/sun_acijpcruwskdzwbx.jpg,False,1,2250.0,other,fair,1109.0,3360.0
wb0148ca,zoo,../static/stimuli/images/bookstore/sun_auwghripdoxzluuk.jpg,False,1,2289.0,other,shelve,2548.0,4837.0
wb0148ca,rabbit,../static/stimuli/images/theater/sun_acpdepnxayyyjqgs.jpg,False,1,,timeout,,,
wb0148ca,envelope,../static/stimuli/images/house/sun_abcaoiwkiofeweig.jpg,False,1,2193.0,intrusion,tall,897.0,3090.0
wb0148ca,europe,../static/stimuli/images/beach/sun_abrqamdurwzygcjy.jpg,False,1,1902.0,intrusion,room,888.0,2790.0
wb0148ca,oregano,../static/stimuli/images/footballfield/sun_aedcjgjztgoialpm.jpg,False,1,12700.0,other,rain,1089.0,13789.0
wb0148ca,ballot,../static/stimuli/images/garage/sun_davtjcuielbxnyza.jpg,False,1,1402.0,other,garage,1210.0,2611.0
