wid,response_type,raw_rt,first_pres_time,second_pres_time,third_pres_time,last_pres_time,choose_first,n_pres,total_first,total_second,rt,trial_id,pretest_accuracy_first,strength_first,pretest_accuracy_second,strength_second
w91a24bf,correct,3935.265000007348,1079.9450000049546,743.3000000019092,1176.0150000045542,1176.0150000045542,TRUE,3,2255.960000009509,743.3000000019092,2999.260000011418,1,1,0.9848439319071374,0,-1.056683270473115
w91a24bf,correct,2407.7999999863096,487.54500001086853,1200.104999996256,NA,1200.104999996256,FALSE,2,487.54500001086853,1200.104999996256,1687.6500000071246,4,0,-1.056683270473115,1,1.074443935295039
w91a24bf,correct,2655.429999984335,607.2749999875668,304.01000002166256,1009.1200000024401,1009.1200000024401,TRUE,3,1616.394999990007,304.01000002166256,1920.4050000116695,5,1,1.198317718932554,1,0.7436965711920078
w91a24bf,correct,2647.3800000094343,607.3600000236183,263.98499999777414,1175.9999999776483,1175.9999999776483,TRUE,3,1783.3600000012666,263.98499999777414,2047.3449999990407,6,1,0.9259933223205893,1,0.8239986879148536
w91a24bf,correct,2463.2500000006985,535.1899999950547,1104.0199999988545,NA,1104.0199999988545,FALSE,2,535.1899999950547,1104.0199999988545,1639.2099999939092,7,0,-1.056683270473115,1,1.0610392749453195
w91a24bf,correct,2407.8499999886844,559.4449999916833,624.0000000107102,720.1199999835808,720.1199999835808,TRUE,3,1279.564999975264,624.0000000107102,1903.5649999859743,8,1,0.733874282429131,0,-1.056683270473115
w91a24bf,correct,1959.370000025956,511.27500002621673,256.264999974519,719.8850000277162,719.8850000277162,TRUE,3,1231.160000053933,256.264999974519,1487.425000028452,9,1,0.839177929386109,1,1.2559222968032562
w91a24bf,correct,2287.3299999919254,511.5349999978207,1232.0900000049733,NA,1232.0900000049733,FALSE,2,511.5349999978207,1232.0900000049733,1743.625000002794,10,0,-1.056683270473115,1,0.9490138393526574
w91a24bf,correct,2623.985000012908,809.5350000075996,638.2600000069942,880.2900000009686,880.2900000009686,TRUE,3,1689.8250000085682,638.2600000069942,2328.0850000155624,12,1,0.7995590106923728,0,-1.056683270473115
w91a24bf,correct,2855.455000011716,399.20000001438893,1288.0949999962468,NA,1288.0949999962468,FALSE,2,399.20000001438893,1288.0949999962468,1687.2950000106357,13,0,-1.056683270473115,1,0.6268995798096493
w91a24bf,correct,1991.7500000155997,447.61999999172986,744.4300000206567,NA,744.4300000206567,FALSE,2,447.61999999172986,744.4300000206567,1192.0500000123866,14,0,-1.056683270473115,1,1.1291553032604078
w91a24bf,correct,2343.6600000131875,527.330000011716,304.03499997919425,423.95500000566244,664.0650000190362,FALSE,4,951.2850000173785,968.0999999982305,1919.385000015609,15,1,0.9980591837604423,1,1.0764501404897047
w91a24bf,correct,1855.5599999963304,294.98000000603497,360.50999999861233,648.0450000090059,648.0450000090059,TRUE,3,943.0250000150409,360.50999999861233,1303.5350000136532,17,1,1.091839661410377,0.5,-0.16004437948807002
w91a24bf,correct,2911.0899999795947,895.1949999900535,1744.1249999974389,NA,1744.1249999974389,FALSE,2,895.1949999900535,1744.1249999974389,2639.3199999874923,19,1,0.9608670627832284,1,0.9184805959882899
wf4da727,correct,3983.700000047684,783.8999998569489,622.1000001430511,1381.2000000476837,1381.2000000476837,TRUE,3,2165.0999999046326,622.1000001430511,2787.2000000476837,20,1,0.30648085506161077,1,-0.16080242507676304
wf4da727,correct,3573.100000143051,690.2000000476837,1901.7000000476837,NA,1901.7000000476837,FALSE,2,690.2000000476837,1901.7000000476837,2591.9000000953674,21,0,-3.284544455059542,1,-0.4441698696274498
wf4da727,correct,4027.199999809265,680.0999999046326,2670.2000000476837,NA,2670.2000000476837,FALSE,2,680.0999999046326,2670.2000000476837,3350.2999999523163,22,1,0.07958984309172,1,0.2031886983524222
wf4da727,correct,3775.399999856949,880.5999999046326,1929.7000000476837,NA,1929.7000000476837,FALSE,2,880.5999999046326,1929.7000000476837,2810.2999999523163,23,1,-0.08257097219790543,1,0.4032615320606887
wf4da727,correct,3224.7999999523163,717.0999999046326,1934.1000001430511,NA,1934.1000001430511,FALSE,2,717.0999999046326,1934.1000001430511,2651.2000000476837,24,1,0.3322109433126901,1,0.2986136322619643
wf4da727,correct,3795.899999856949,698.6999998092651,546,1933.8000001907349,1933.8000001907349,TRUE,3,2632.5,546,3178.5,25,1,0.4582064160597507,1,0.7090958218091437
wf4da727,correct,5039.799999952316,689.0999999046326,689.4000000953674,1560.5,1258.5,FALSE,4,2249.5999999046326,1947.9000000953674,4197.5,26,1,0.4717118293626408,1,0.2798831337502866
wf4da727,correct,4032.299999952316,905.5,672.0999999046326,1112.2000000476837,1112.2000000476837,TRUE,3,2017.7000000476837,672.0999999046326,2689.7999999523163,27,1,0.06699736352451219,1,0.40203022947247674
