wid,word,image,practice,block,rt,typing_rt,response,type_time,response_type
w6dcb1db,antelope,../static/stimuli/images/downtown/sun_aljrvcabwnwkorml.jpg,False,2,1,2142,antelope,2141.0,correct
w6dcb1db,grizzly,../static/stimuli/images/garage/sun_danujvtkymldhxqn.jpg,False,2,1,2294,grizzly,2293.39999999851,correct
w6dcb1db,transplant,../static/stimuli/images/castle/sun_apbjjqvsvrybtdua.jpg,False,2,1,5739,transplant,5738.199999999255,correct
w6dcb1db,quill,../static/stimuli/images/restaurant/sun_anyzuaevahatwgti.jpg,False,2,1,2231,quill,2230.5,correct
w6dcb1db,hamburger,../static/stimuli/images/vineyard/sun_amazvkispkonazvz.jpg,False,2,1,2267,hamburger,2266.0999999996275,correct
w6dcb1db,bug,../static/stimuli/images/bookstore/sun_aalyndhausktwxbc.jpg,False,2,1,1700,bug,1699.2999999988824,correct
w6dcb1db,tiger,../static/stimuli/images/sky/sun_awdlpzaohypbcfjk.jpg,False,2,1,5613,tiger,5612.699999999255,correct
w6dcb1db,penguin,../static/stimuli/images/windmill/sun_adstnygbbvkhooog.jpg,False,2,0,1857,,1856.300000000745,empty
w6dcb1db,application,../static/stimuli/images/pool/sun_aexdaltifheurhfa.jpg,False,2,0,4229,application,4228.799999998882,correct
w6dcb1db,roost,../static/stimuli/images/musuem/sun_axbkhklgdaevqxyj.jpg,False,2,0,1939,roost,1938.8999999985099,correct
w6dcb1db,villain,../static/stimuli/images/street/sun_avxrcniddstcuuuc.jpg,False,2,0,2456,villain,2455.199999999255,correct
w6dcb1db,goddess,../static/stimuli/images/volcano/sun_aojnxwnexkwltvvx.jpg,False,2,0,1967,goddess,1966.6000000014901,correct
w6dcb1db,well,../static/stimuli/images/temple/sun_aeurbzlgbulzilum.jpg,False,2,1,2014,well,2013.7999999988824,correct
w6dcb1db,pizza,../static/stimuli/images/airport/sun_aonhxkxmksvewqlr.jpg,False,2,1,1392,,1391.699999999255,empty
w6dcb1db,suburb,../static/stimuli/images/laundryroom/sun_amdxqjichaqshdel.jpg,False,2,0,3803,suburb,3802.39999999851,correct
w6dcb1db,goat,../static/stimuli/images/waterfall/sun_awrontvhyysjfacv.jpg,False,2,0,1713,goat,1712.0999999996275,correct
w6dcb1db,lover,../static/stimuli/images/underwater/sun_aojrtoikxmtgzchi.jpg,False,2,0,1764,lover,1763.0999999996275,correct
w6dcb1db,house,../static/stimuli/images/railway/sun_asgcpxncztcqwiyz.jpg,False,2,0,1699,house,1698.300000000745,correct
w6dcb1db,department,../static/stimuli/images/computerroom/sun_adsueslplqfnwvqd.jpg,False,2,1,5150,departmen,5149.5999999996275,correct
w6dcb1db,eagle,../static/stimuli/images/greenhouse/sun_bxiwqwbzndahlxxp.jpg,False,2,0,2051,eagle,2050.9000000003725,correct
w6dcb1db,patient,../static/stimuli/images/kitchen/sun_axvexejcndazoqxl.jpg,False,2,0,2317,,2316.4000000003725,empty
w6dcb1db,ozone,../static/stimuli/images/auditorium/sun_amogjvmhqoxmxbyg.jpg,False,2,1,2282,ozone,2281.7999999988824,correct
w6dcb1db,consumer,../static/stimuli/images/campsite/sun_agkgjmhhyqowlmdm.jpg,False,2,1,1890,consumer,1889.0,correct
w6dcb1db,jeans,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,2,0,2229,jeans,2228.0999999996275,correct
w6dcb1db,walrus,../static/stimuli/images/river/sun_abktmmreusnujejq.jpg,False,2,0,2769,,2768.4000000003725,empty
w6dcb1db,sand,../static/stimuli/images/grocery/sun_ahmoznrxomkgrris.jpg,False,2,1,1844,sand,1843.5,correct
w6dcb1db,winner,../static/stimuli/images/ziggurat/sun_amuijzzaceciuwpo.jpg,False,2,1,2074,winner,2073.89999999851,correct
w6dcb1db,keeper,../static/stimuli/images/gym/sun_arcsudfqyrphzccy.jpg,False,2,1,3012,keeper,3011.300000000745,correct
w6dcb1db,dandelion,../static/stimuli/images/footballfield/sun_aadxnjugrvhqyufw.jpg,False,2,1,2730,dandelion,2729.5999999996275,correct
w6dcb1db,scapegoat,../static/stimuli/images/shoppingmall/sun_aqmgjlthiepxfbtd.jpg,False,2,0,3829,scapegoat,3828.2999999988824,correct
w6dcb1db,elephant,../static/stimuli/images/tower/sun_augaqwzgrksvvsgf.jpg,False,2,0,1796,,1795.4000000003725,empty
w6dcb1db,gravel,../static/stimuli/images/house/sun_aangbuylfvckqqoo.jpg,False,2,0,2231,gravel,2230.800000000745,correct
w6dcb1db,tart,../static/stimuli/images/roof/sun_awyytziajjpreuke.jpg,False,2,0,1438,,1437.2999999988824,empty
w6dcb1db,elbow,../static/stimuli/images/theater/sun_alttxbnfjyibouth.jpg,False,2,1,2729,elbow,2728.2999999988824,correct
w6dcb1db,well,../static/stimuli/images/temple/sun_aeurbzlgbulzilum.jpg,False,3,1,1284,well,1283.5,correct
w6dcb1db,roost,../static/stimuli/images/musuem/sun_axbkhklgdaevqxyj.jpg,False,3,1,1459,roost,1458.2000000011176,correct
w6dcb1db,hamburger,../static/stimuli/images/vineyard/sun_amazvkispkonazvz.jpg,False,3,1,2150,hamburgeer,2148.9000000003725,correct
w6dcb1db,walrus,../static/stimuli/images/river/sun_abktmmreusnujejq.jpg,False,3,1,3147,walrus,3146.10000000149,correct
w6dcb1db,sand,../static/stimuli/images/grocery/sun_ahmoznrxomkgrris.jpg,False,3,1,1661,sand,1659.9000000003725,correct
w6dcb1db,penguin,../static/stimuli/images/windmill/sun_adstnygbbvkhooog.jpg,False,3,1,1930,penguin,1929.4000000003725,correct
w6dcb1db,gravel,../static/stimuli/images/house/sun_aangbuylfvckqqoo.jpg,False,3,1,2300,gravel,2299.0,correct
w6dcb1db,patient,../static/stimuli/images/kitchen/sun_axvexejcndazoqxl.jpg,False,3,1,3103,patient,3102.4000000003725,correct
w6dcb1db,banana,../static/stimuli/images/ranch/sun_adlocewvkpbsaigj.jpg,False,3,1,3117,banana,3116.5,correct
w6dcb1db,electron,../static/stimuli/images/warehouse/sun_aadtsgkouwrqwvwl.jpg,False,3,1,2303,electron,2302.0,correct
w6dcb1db,ozone,../static/stimuli/images/auditorium/sun_amogjvmhqoxmxbyg.jpg,False,3,1,1891,ozone,1890.2000000011176,correct
w6dcb1db,tiger,../static/stimuli/images/sky/sun_awdlpzaohypbcfjk.jpg,False,3,1,1561,tiger,1560.300000000745,correct
w6dcb1db,house,../static/stimuli/images/railway/sun_asgcpxncztcqwiyz.jpg,False,3,1,1695,house,1694.5999999996275,correct
w6dcb1db,shoelace,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,False,3,1,3324,shoelace,3322.9000000003725,correct
