wid,word,image,practice,block,prime,prime_related,typing_rt,response,type_time,rt,response_type
wbbb5734,eye,../static/stimuli/images/waterfall/sun_bbvrdmjbnzoaqrmp.jpg,True,-1,False,False,10327.800000011921,dog,1389.3999999761581,11717.199999988079,other
wbbb5734,nut,../static/stimuli/images/castle/sun_apbjjqvsvrybtdua.jpg,False,-1,False,False,4777.800000011921,,0.10000002384185791,4777.900000035763,empty
wbbb5734,dog,../static/stimuli/images/street/sun_amwdevcpkorkaqcv.jpg,False,-1,False,False,7864.099999964237,dog,732.5,8596.599999964237,correct
wbbb5734,toilet,../static/stimuli/images/volcano/sun_amntiizmakyntrnx.jpg,False,-1,False,False,6562.0,,0.0,6562.0,empty
wbbb5734,drink,../static/stimuli/images/ziggurat/sun_agbaptlibgqhrwwn.jpg,False,-1,False,False,5151.0,apple,1411.0,6562.0,other
wbbb5734,flower,../static/stimuli/images/river/sun_advruofhmqeyqmbx.jpg,False,-1,False,False,2293.599999964237,,0.10000002384185791,2293.699999988079,empty
wbbb5734,lawn,../static/stimuli/images/tower/sun_amsimjdbtzyefqbh.jpg,False,-1,False,False,5342.300000011921,volcano,3021.699999988079,8364.0,other
wbbb5734,heart,../static/stimuli/images/footballfield/sun_afuzusgbewygvixv.jpg,False,-1,False,False,5838.400000035763,volcano,2767.300000011921,8605.700000047684,other
wbbb5734,bag,../static/stimuli/images/grocery/sun_agipdkpovnqrcsgh.jpg,False,-1,False,False,4260.5,,0.10000002384185791,4260.600000023842,empty
wbbb5734,door,../static/stimuli/images/ranch/sun_ajrpvgxcgeblwooh.jpg,False,-1,False,False,5910.099999964237,apple,1049.4000000357628,6959.5,other
wbbb5734,horse,../static/stimuli/images/gym/sun_appsvbfzhwrmtrje.jpg,False,-1,False,False,7006.600000023842,,0.10000002384185791,7006.700000047684,empty
wbbb5734,candle,../static/stimuli/images/musuem/sun_agblrnoilxeknben.jpg,False,-1,False,False,7111.800000011921,wind,809.6999999880791,7921.5,intrusion
wbbb5734,ear,../static/stimuli/images/auditorium/sun_ahxfbcfdtvgnrivf.jpg,False,-1,False,False,1829.0,,0.10000002384185791,1829.1000000238419,empty
wbbb5734,rabbit,../static/stimuli/images/restaurant/sun_afgriceqykrjokmt.jpg,False,-1,False,False,957.3000000119209,,0.10000002384185791,957.4000000357628,empty
wbbb5734,potato,../static/stimuli/images/beach/sun_acbeypdvskqxwbrf.jpg,False,-1,False,False,2655.600000023842,,0.09999996423721313,2655.699999988079,empty
wbbb5734,pig,../static/stimuli/images/temple/sun_ailcfqxmknysbavu.jpg,False,-1,False,False,10132.400000035763,,0.09999996423721313,10132.5,empty
wbbb5734,cat,../static/stimuli/images/greenhouse/sun_aahkpmrwfcwqyfcf.jpg,False,-1,False,False,3184.0,,0.20000004768371582,3184.2000000476837,empty
wbbb5734,bed,../static/stimuli/images/laundryroom/sun_abdhkuiitfxcgncb.jpg,False,-1,False,False,4534.5,,0.0,4534.5,empty
wbbb5734,hay,../static/stimuli/images/kitchen/sun_akzumputqvdvtqbq.jpg,False,-1,False,False,1026.300000011921,,0.0,1026.300000011921,empty
wbbb5734,snake,../static/stimuli/images/shoppingmall/sun_avicxzccipgymejx.jpg,False,-1,False,False,968.8000000119209,,0.0,968.8000000119209,empty
