pre_correct,strength,outcome,rt,μ_post,σ_post
0.0,-0.031114247445316767,-1,2200,0.4672663812507215,0.4
0.0,0.5582976736296299,1,1000,1.2472542785216802,0.5345224838248488
0.0,0.7501450632770025,1,500,1.6478218066010726,0.6666666666666666
0.0,-1.0930766779691998,-1,2100,-0.8892352476475596,0.408248290463863
0.0,-1.5407300072756107,-1,500,-1.284484739443438,0.7071067811865476
0.0,0.00487746685620799,-1,400,0.5082560737789329,0.7559289460184545
0.0,-0.16412117601268217,-1,1600,-0.19878720176707318,0.45883146774112354
0.0,0.9385655014390462,1,800,1.1814859075591786,0.5773502691896257
0.0,0.15786109036830787,-1,2400,0.44393883256483513,0.3849001794597505
0.0,0.14653126789564247,-1,1500,0.30949964394694873,0.4714045207910317
0.0,-0.4858725359361262,-1,900,-0.17387656793015496,0.5773502691896257
0.0,0.0183597651956805,-1,600,-0.316992904473717,0.6666666666666666
0.0,-0.9556048852029035,-1,1800,-1.2611085518681975,0.4364357804719848
0.0,-0.25825623521590546,-1,1200,-0.4604793918857165,0.5163977794943222
0.0,-0.9117112992216405,-1,900,-0.8327321509586395,0.5773502691896257
0.0,0.8117960568460159,-1,1300,0.519694986928335,0.5
0.0,-0.34710596586850173,-1,800,-0.6180370764507722,0.6030226891555273
0.0,-1.8323536850349722,-1,1100,-0.9184098166943958,0.5345224838248488
0.0,0.6844680635403687,-1,1000,0.1777266779404313,0.5547001962252291
0.0,-1.2870801600366297,-1,2100,-1.3221865935476738,0.408248290463863
0.0,-0.05490152098968866,-1,2100,0.0848908300163803,0.408248290463863
0.0,0.07121330603352272,1,700,1.290009558567578,0.6030226891555273
0.0,-0.7125920000519669,-1,1100,-0.8712767132898264,0.5345224838248488
0.0,0.9403552020335434,1,1300,1.1256440311748996,0.48507125007266594
0.0,0.8522221787444537,-1,2200,0.4801306809858778,0.4
0.0,-0.46087948512143484,-1,15000,-0.3502974826162023,0.16116459280507606
0.0,-0.47635632612619727,-1,900,-0.7947690572636024,0.5773502691896257
0.0,-0.8177225694005444,-1,1300,-0.015153121350737847,0.5
0.0,-0.5364902372392437,-1,1300,0.348890292880547,0.5
0.0,0.2635908312342038,-1,1000,-0.3635810527375358,0.5547001962252291
0.0,0.9571662977948303,-1,900,0.5963729500005079,0.5773502691896257
0.0,-0.767037337846928,-1,1400,-0.5152000710085494,0.48507125007266594
0.0,-0.34228597419832274,-1,1100,0.2935897970134208,0.5345224838248488
0.0,0.2434925498436466,-1,700,-0.006606892758461847,0.6324555320336759
0.0,-2.122046977645792,-1,400,-1.1399829632849172,0.7559289460184545
0.0,-0.6237123712479343,-1,1100,-0.6020427870720307,0.5345224838248488
0.0,0.7310395426188587,-1,1400,-0.03372828858589362,0.48507125007266594
0.0,0.9882080274471348,-1,900,0.9125658477508023,0.5773502691896257
0.0,-2.072741613455866,-1,1300,-2.306071815614,0.5
0.0,0.48036829848360996,-1,900,0.36442717962648286,0.5773502691896257
0.0,-0.31769541730975986,-1,2700,-0.7658044996603285,0.3651483716701107
0.0,-0.4745209597805346,-1,800,-0.43746694671566755,0.6030226891555273
0.0,1.8451030128731598,1,700,1.3485059122786238,0.6030226891555273
0.0,1.6449179218623464,1,500,1.6670610613835026,0.6666666666666666
0.0,0.5650975800607645,-1,1100,-0.0688596047717447,0.5345224838248488
0.0,1.032701970494774,1,1600,0.7586141712544944,0.4472135954999579
0.0,-1.7187193317790777,-1,600,-1.0401148131462532,0.6666666666666666
0.0,0.02355652324824642,1,1800,0.6561264387374499,0.4264014327112209
0.0,0.14224176753300727,1,2200,0.5696244308202189,0.3922322702763681
0.0,-1.6699599928662803,-1,900,-0.9106947934729597,0.5773502691896257
0.0,0.12003166656438308,-1,1000,0.5350893358400927,0.5547001962252291
