strength_first,strength_second,presentation_times,outcome,duration_first,duration_second
0.0,0.0,"[49, 11]",-1,49,11
0.01,0.0,"[25, 35]",-1,25,35
0.02,0.0,"[24, 2, 30, 4]",-1,54,6
0.03,0.0,"[29, 31]",-1,29,31
0.04,0.0,[60],-1,60,0
0.05,0.0,"[56, 4]",-1,56,4
0.06,0.0,"[16, 44]",-1,16,44
0.07,0.0,"[4, 14, 42]",-1,46,14
0.08,0.0,"[15, 45]",-1,15,45
0.0,0.09,[60],-1,60,0
0.1,0.0,"[3, 7, 36, 14]",-1,39,21
0.11,0.0,"[2, 58]",-1,2,58
0.12,0.0,"[3, 13, 33, 11]",-1,36,24
0.13,0.0,[60],-1,60,0
0.14,0.0,"[20, 6, 22, 12]",-1,42,18
0.15,0.0,"[29, 6, 5, 20]",-1,34,26
0.0,0.16,"[22, 4, 19, 7, 8]",-1,49,11
0.17,0.0,"[8, 6, 8, 9, 13, 16]",-1,29,31
0.18,0.0,"[17, 25, 18]",-1,35,25
0.19,0.0,"[24, 9, 27]",-1,51,9
0.2,0.0,"[58, 2]",-1,58,2
0.21,0.0,"[37, 4, 19]",-1,56,4
0.22,0.0,"[31, 29]",-1,31,29
0.23,0.0,"[26, 34]",-1,26,34
0.24,0.0,"[52, 8]",-1,52,8
0.25,0.0,"[12, 21, 1, 17, 9]",-1,22,38
0.26,0.0,"[54, 5, 1]",-1,55,5
0.27,0.0,"[5, 11, 10, 17, 17]",-1,32,28
0.28,0.0,[60],-1,60,0
0.29,0.0,"[7, 2, 12, 25, 14]",-1,33,27
0.3,0.0,"[3, 57]",-1,3,57
0.31,0.0,[60],-1,60,0
0.32,0.0,"[10, 17, 33]",-1,43,17
0.33,0.0,"[39, 21]",-1,39,21
0.34,0.0,"[44, 16]",-1,44,16
0.35,0.0,[60],-1,60,0
0.36,0.0,[60],-1,60,0
0.37,0.0,"[2, 16, 42]",-1,44,16
0.38,0.0,[60],-1,60,0
0.39,0.0,"[4, 9, 8, 18, 3, 11, 2, 5]",-1,17,43
0.4,0.0,"[29, 31]",-1,29,31
0.41,0.0,"[36, 24]",-1,36,24
0.0,0.42,"[46, 14]",-1,46,14
0.43,0.0,"[32, 27, 1]",-1,33,27
0.44,0.0,"[17, 9, 34]",-1,51,9
0.45,0.0,"[7, 22, 21, 10]",-1,28,32
0.46,0.0,[53],1,53,0
0.47,0.0,"[36, 7, 2, 15]",-1,38,22
0.48,0.0,"[3, 2, 50]",1,53,2
0.49,0.0,"[50, 2, 2]",1,52,2
0.5,0.0,[45],1,45,0
0.51,0.0,[43],1,43,0
0.52,0.0,"[17, 43]",-1,17,43
