wid,word,image,pratice,word_type,rt,response,type_time,response_type,typing_rt
w8a1e00b,baby,../static/stimuli/images/greenhouse/sun_aqkjiolbtywtaxak.jpg,False,high,0,baby,2722.0,correct,1924.0
w8a1e00b,handkerchief,../static/stimuli/images/railway/sun_asgcpxncztcqwiyz.jpg,False,high,1,handkerchief,2163.0,correct,1016.0
w8a1e00b,critic,../static/stimuli/images/auditorium/sun_ahcmaddzrcfxzuuz.jpg,False,low,0,critic,1696.0,correct,1150.0
w8a1e00b,community,../static/stimuli/images/computerroom/sun_aiwdglrsrkkfbgzz.jpg,False,low,2,manager,2083.0,other,1494.0
w8a1e00b,rebel,../static/stimuli/images/gym/sun_aljefikdfqefidfc.jpg,False,low,0,,8763.0,empty,
w8a1e00b,apple,../static/stimuli/images/forest/sun_atohvclowaousrfh.jpg,False,high,0,apple,1490.0,correct,915.0
w8a1e00b,consumer,../static/stimuli/images/musuem/sun_agblrnoilxeknben.jpg,False,low,1,consumer,2173.0,correct,1447.0
w8a1e00b,eagle,../static/stimuli/images/downtown/sun_axbzajoxhnjergfp.jpg,False,high,0,eagle,1789.0,correct,1357.0
w8a1e00b,tractor,../static/stimuli/images/house/sun_abcaoiwkiofeweig.jpg,False,high,0,tractor,2283.0,correct,1477.0
w8a1e00b,volunteer,../static/stimuli/images/kitchen/sun_aovnyfewezfmgwke.jpg,False,low,0,volunteer,2258.0,correct,1157.0
weda1618,territory,../static/stimuli/images/beach/sun_aabhqzsffoeycgje.jpg,True,low,3,,,timeout,
weda1618,crook,../static/stimuli/images/auditorium/sun_ahwnrxacspjqqqfm.jpg,False,low,1,crook,3242.340000000666,correct,2466.0
weda1618,application,../static/stimuli/images/gym/sun_akhyzejtqpynaepu.jpg,False,low,4,application,4319.66000000108,correct,2470.0
weda1618,permit,../static/stimuli/images/castle/sun_alsmelmsufuoupht.jpg,False,low,4,,,timeout,
weda1618,tomato,../static/stimuli/images/bookstore/sun_avqoszezjldwidcy.jpg,False,high,2,tomato,3113.2800000013667,correct,1960.0
weda1618,community,../static/stimuli/images/computerroom/sun_atznfxhjiiugbvxi.jpg,False,low,5,community,7295.9550000014715,correct,3462.0
weda1618,pig,../static/stimuli/images/river/sun_atesawsfypjpyefy.jpg,False,high,3,,,timeout,
weda1618,walrus,../static/stimuli/images/downtown/sun_ahtmvwmmrlbrfchd.jpg,False,high,3,s,6474.55500000075,other,6476.0
weda1618,jeans,../static/stimuli/images/forest/sun_akxbwsrgnuadikod.jpg,False,high,3,jeans,2740.010000001348,correct,1857.0
