wid,skip_rate,keep
w0161232,0.13513513513513514,TRUE
w0185152,0.21621621621621623,TRUE
w021d4ac,0.7837837837837838,TRUE
w029d2fa,0.8108108108108109,TRUE
w037ce03,0,TRUE
w04ea39f,0.32432432432432434,TRUE
w0518217,0.972972972972973,FALSE
w066f11e,0.4864864864864865,TRUE
w0c7e0ff,0.7027027027027027,TRUE
w0f2031b,0.40540540540540543,TRUE
w10dba5f,0.7837837837837838,TRUE
w1322d2e,0.08108108108108109,TRUE
w1588f4d,0.7567567567567568,TRUE
w15cf0cb,0.918918918918919,FALSE
w16d8b8d,0.2972972972972973,TRUE
w178df1d,0.7027027027027027,TRUE
w1d6de38,0.7297297297297297,TRUE
w2153c89,0.7297297297297297,TRUE
w2465e31,0.8648648648648649,TRUE
w26328d3,0.6756756756756757,TRUE
w2775409,0.7567567567567568,TRUE
w2b66bb3,0.918918918918919,FALSE
w2d8638a,0.2702702702702703,TRUE
w3195d66,0,TRUE
w31b79eb,0.8648648648648649,TRUE
w32070eb,0.7837837837837838,TRUE
w3306d86,0.43243243243243246,TRUE
w35cf0de,0.972972972972973,FALSE
w375eab0,0.16216216216216217,TRUE
w37dd8e4,0.6486486486486487,TRUE
w3a7dde9,0.5675675675675675,TRUE
w3ac7814,0.8918918918918919,TRUE
w3b56fcd,0.6756756756756757,TRUE
w3e6c6d3,0.5405405405405406,TRUE
w4201c44,0.5675675675675675,TRUE
w4268df8,0.7027027027027027,TRUE
w4284da3,0.7027027027027027,TRUE
w42b00b9,0.10810810810810811,TRUE
w4448d1d,0.16216216216216217,TRUE
w480436d,0.7567567567567568,TRUE
w48e45bb,0.7297297297297297,TRUE
w49701fc,0.7837837837837838,TRUE
w4a284b9,0.7297297297297297,TRUE
w4ab6536,0.972972972972973,FALSE
w4c566d4,0.4594594594594595,TRUE
w4f0266e,0.5945945945945946,TRUE
w508cd41,0.4864864864864865,TRUE
w5263b40,0.3783783783783784,TRUE
w53f5df5,0.08108108108108109,TRUE
w5578705,0.6486486486486487,TRUE
w573ffa2,0.7567567567567568,TRUE
w594989b,0.2972972972972973,TRUE
w5b510c9,1,FALSE
w61e1735,0.4864864864864865,TRUE
w62b53ae,0.02702702702702703,TRUE
w633c63c,0.32432432432432434,TRUE
w650469f,0.5405405405405406,TRUE
w650b339,0.6216216216216216,TRUE
w6e1cf63,0.40540540540540543,TRUE
w6f83aef,0.7297297297297297,TRUE
w70817fc,0.8378378378378378,TRUE
w70834ef,1,FALSE
w714698e,0.7297297297297297,TRUE
w762abbc,0.3783783783783784,TRUE
w7d0f22b,0.5405405405405406,TRUE
w7ec000e,0.918918918918919,FALSE
w86b23a8,0.972972972972973,FALSE
w880a528,0.8648648648648649,TRUE
w8a4d3cf,0.21621621621621623,TRUE
w8a5b790,0.5405405405405406,TRUE
w8ac756d,0.5945945945945946,TRUE
w8e71a19,0.24324324324324326,TRUE
w8ee7e86,1,FALSE
w956a7c6,0.6486486486486487,TRUE
w97a1598,0.10810810810810811,TRUE
w9ad1c78,0.16216216216216217,TRUE
w9be30e0,0.6486486486486487,TRUE
w9e97a84,0.10810810810810811,TRUE
wa34842a,0.7837837837837838,TRUE
wa62bc1b,0.5675675675675675,TRUE
wa6b3bff,0,TRUE
wa6bade8,0.6486486486486487,TRUE
wa87f248,0.9459459459459459,FALSE
wabe8957,0.4864864864864865,TRUE
wae1d2da,0.32432432432432434,TRUE
wb0ed4d3,0.7837837837837838,TRUE
wb186015,0.5135135135135135,TRUE
wb3bf80f,0.21621621621621623,TRUE
wb488c8b,0.4864864864864865,TRUE
wb5f80bb,0.32432432432432434,TRUE
wb9369c7,1,FALSE
wb9911cf,0.32432432432432434,TRUE
wba71538,0.8918918918918919,TRUE
wbcb3788,0.3783783783783784,TRUE
wbf44c59,0.4594594594594595,TRUE
wbfb3c0a,0.6486486486486487,TRUE
wc022b79,0.7297297297297297,TRUE
wc0ee046,0.4864864864864865,TRUE
wc294200,0.21621621621621623,TRUE
wc2aa0c2,0.5945945945945946,TRUE
wc2d4e01,1,FALSE
wc540abf,0.13513513513513514,TRUE
wc5e05f1,1,FALSE
wc5f3c8a,0.7027027027027027,TRUE
wcf9ea93,0.6216216216216216,TRUE
wcfbdff2,0.13513513513513514,TRUE
wcfd96e8,0.1891891891891892,TRUE
wd902f96,0.6756756756756757,TRUE
wdc09d6f,0.40540540540540543,TRUE
wdde2e7b,0.7567567567567568,TRUE
wde590d0,0.8648648648648649,TRUE
wdf6f1f7,0.7027027027027027,TRUE
we016899,0.7837837837837838,TRUE
we3c4461,0.6216216216216216,TRUE
we506259,0.4594594594594595,TRUE
we599fe7,0.3783783783783784,TRUE
wea3eeab,0.7297297297297297,TRUE
wf0acb4b,0.2972972972972973,TRUE
wf0fa86a,0.8918918918918919,TRUE
wf3e0b96,0.4594594594594595,TRUE
wf53b20f,0.8918918918918919,TRUE
wf574169,0.08108108108108109,TRUE
wf65d844,0.8648648648648649,TRUE
wfada924,0.40540540540540543,TRUE
