wid,word,image,practice,block,prime,prime_related,typing_rt,response,type_time,rt,response_type
w8858452,potato,../static/stimuli/images/grocery/sun_attfybmngdqnppeu.jpg,False,-1,True,False,1078.0,potato,934.0,2012.0,correct
w8858452,lion,../static/stimuli/images/underwater/sun_ajbkjsrhukffyqix.jpg,False,-1,True,False,1001.0,lion,763.0,1764.0,correct
w8858452,flower,../static/stimuli/images/tower/sun_avnkmtvvzgltezto.jpg,False,-1,True,False,3146.0,flower,868.0,4014.0,intrusion
w8858452,apple,../static/stimuli/images/shoppingmall/sun_abegyiikvbaqpooh.jpg,False,-1,True,False,2164.9999999998836,apple,615.0,2779.9999999998836,correct
w8858452,bird,../static/stimuli/images/skiresort/sun_ahlksvwmghqfwqtw.jpg,False,-1,True,False,8346.0,,0.0,8346.0,empty
w8858452,horse,../static/stimuli/images/airport/sun_axyoqqhxaeocbixs.jpg,False,-1,True,True,6361.0,,0.0,6361.0,empty
w8858452,window,../static/stimuli/images/kitchen/sun_avlgzqfdedxwbiei.jpg,False,-1,True,False,2379.0,window,904.0,3283.0,correct
w8858452,ear,../static/stimuli/images/sky/sun_aboqqlnpqcqfghfo.jpg,False,-1,True,True,2274.0,ear,2405.9999999998836,4679.999999999884,intrusion
w8858452,bone,../static/stimuli/images/campsite/sun_akmknzqdbcxpznth.jpg,False,-1,True,True,2857.9999999998836,bone,1241.0,4098.999999999884,intrusion
w8858452,fence,../static/stimuli/images/castle/sun_aqdmndojwupcntcn.jpg,False,-1,True,True,1105.0,fence,1984.0,3089.0,intrusion
w8858452,rabbit,../static/stimuli/images/greenhouse/sun_bncgstrupskxwget.jpg,False,-1,True,False,1902.0,rabbit,1014.0,2916.0,correct
w8858452,bag,../static/stimuli/images/bookstore/sun_avqoszezjldwidcy.jpg,False,-1,True,False,1031.0,bag,1102.0000000001164,2133.0000000001164,intrusion
w8858452,snake,../static/stimuli/images/beach/sun_aacgcodmtsyjjmbx.jpg,False,-1,True,True,3494.0,,0.0,3494.0,empty
w8858452,pig,../static/stimuli/images/theater/sun_acehmgvyiimdorgz.jpg,False,-1,True,False,1154.0,pig,516.0,1670.0,correct
w8858452,heart,../static/stimuli/images/restaurant/sun_aiyfhlpenzexmqoi.jpg,False,-1,True,True,5861.0,,0.0,5861.0,empty
w8858452,jeans,../static/stimuli/images/forest/sun_aoqjnzwgdikwayvw.jpg,False,-1,True,False,1539.0,jeans,594.0,2133.0,correct
w8858452,computer,../static/stimuli/images/pool/sun_aztsporcpcmiibon.jpg,False,-1,True,True,6696.0,,0.0,6696.0,empty
w8858452,duck,../static/stimuli/images/footballfield/sun_aszinldqqvnpmwfh.jpg,False,-1,True,False,1475.0,duck,609.0,2084.0,intrusion
w8858452,hay,../static/stimuli/images/auditorium/sun_aiheutdgogkujwri.jpg,False,-1,True,True,3894.0,hall,738.0,4632.0,intrusion
w8858452,toilet,../static/stimuli/images/subway/sun_axdrpmtfwsncbewy.jpg,False,-1,True,False,1759.0,toilet,1560.0,3319.0,correct
w8858452,sand,../static/stimuli/images/downtown/sun_aljrvcabwnwkorml.jpg,False,-1,True,True,5968.0,,0.0,5968.0,empty
w8858452,dog,../static/stimuli/images/volcano/sun_ausfbukcukjcqubc.jpg,False,-1,True,True,3739.0000000001164,,0.0,3739.0000000001164,empty
w8858452,cat,../static/stimuli/images/computerroom/sun_aiwdglrsrkkfbgzz.jpg,False,-1,True,True,3407.0,room,509.0,3916.0,intrusion
w8858452,nut,../static/stimuli/images/waterfall/sun_bbvrdmjbnzoaqrmp.jpg,False,-1,True,False,6906.0,nut,3911.0,10817.0,correct
w8858452,egg,../static/stimuli/images/laundryroom/sun_aenyfwnevttqnhhe.jpg,False,-1,True,False,973.0,egg,439.0,1412.0,correct
w8858452,volcano,../static/stimuli/images/roof/sun_airvzklrdchyytiu.jpg,False,-1,True,True,1557.0000000001164,volcano,1807.9999999998836,3365.0,correct
w8858452,drink,../static/stimuli/images/temple/sun_ailcfqxmknysbavu.jpg,False,-1,True,True,1820.0,,0.0,1820.0,empty
w8858452,bed,../static/stimuli/images/street/sun_aczwveqpgvcxtjxr.jpg,False,-1,True,True,1550.9999999998836,bed,359.0,1909.9999999998836,correct
w8858452,bear,../static/stimuli/images/gym/sun_aljefikdfqefidfc.jpg,False,-1,True,False,1317.0,bear,689.0,2006.0,intrusion
w8858452,lawn,../static/stimuli/images/windmill/sun_acijpcruwskdzwbx.jpg,False,-1,True,True,1986.0000000001164,lawn,633.9999999998836,2620.0,correct
w8858452,puzzle,../static/stimuli/images/vineyard/sun_aokkqrsxsvimuubo.jpg,False,-1,True,False,985.0,puzzle,1807.0,2792.0,correct
w8858452,candle,../static/stimuli/images/house/sun_aswyksckmfyarwfk.jpg,False,-1,True,True,4249.0,,1.0,4250.0,empty
w8858452,truck,../static/stimuli/images/warehouse/sun_agdmklchstfjclxg.jpg,False,-1,True,True,1150.0,truck,816.0000000001164,1966.0000000001164,correct
w8858452,hat,../static/stimuli/images/ziggurat/sun_agbaptlibgqhrwwn.jpg,False,-1,True,False,1459.0,hat,4580.0,6039.0,intrusion
w8858452,eye,../static/stimuli/images/garage/sun_davtjcuielbxnyza.jpg,False,-1,True,False,6174.999999999884,eye,2258.0000000001164,8433.0,correct
w8858452,cake,../static/stimuli/images/river/sun_abktmmreusnujejq.jpg,False,-1,True,True,4817.0,cat,1590.0,6407.0,other
w8858452,bread,../static/stimuli/images/ranch/sun_airsfxbouimobamd.jpg,False,-1,True,False,1449.0,bread,748.0000000001164,2197.0000000001164,correct
w8858452,horse,../static/stimuli/images/airport/sun_axyoqqhxaeocbixs.jpg,False,-1,True,False,3957.9999999998836,,0.0,3957.9999999998836,empty
w8858452,volcano,../static/stimuli/images/roof/sun_airvzklrdchyytiu.jpg,False,-1,True,False,1173.0,volcano,2212.0,3385.0,correct
w8858452,truck,../static/stimuli/images/warehouse/sun_agdmklchstfjclxg.jpg,False,-1,True,False,1048.0,truck,809.0,1857.0,correct
w8858452,bear,../static/stimuli/images/gym/sun_aljefikdfqefidfc.jpg,False,-1,True,True,959.0,bear,677.0,1636.0,intrusion
w8858452,cat,../static/stimuli/images/computerroom/sun_aiwdglrsrkkfbgzz.jpg,False,-1,True,False,2486.0,room,707.0,3193.0,intrusion
w8858452,drink,../static/stimuli/images/temple/sun_ailcfqxmknysbavu.jpg,False,-1,True,False,1955.0,,0.0,1955.0,empty
w8858452,duck,../static/stimuli/images/footballfield/sun_aszinldqqvnpmwfh.jpg,False,-1,True,True,1085.0,duck,1102.0,2187.0,intrusion
w8858452,ear,../static/stimuli/images/sky/sun_aboqqlnpqcqfghfo.jpg,False,-1,True,False,1005.9999999998836,ear,988.0,1993.9999999998836,intrusion
w8858452,eye,../static/stimuli/images/garage/sun_davtjcuielbxnyza.jpg,False,-1,True,True,2222.0,eye,596.0,2818.0,correct
w8858452,computer,../static/stimuli/images/pool/sun_aztsporcpcmiibon.jpg,False,-1,True,False,2344.0,,5018.0,7362.0,empty
w8858452,apple,../static/stimuli/images/shoppingmall/sun_abegyiikvbaqpooh.jpg,False,-1,True,True,1375.0,apple,696.0,2071.0,correct
w8858452,bone,../static/stimuli/images/campsite/sun_akmknzqdbcxpznth.jpg,False,-1,True,False,1472.0000000001164,bone,601.9999999998836,2074.0,intrusion
w8858452,lion,../static/stimuli/images/underwater/sun_ajbkjsrhukffyqix.jpg,False,-1,True,True,905.0,lion,738.0,1643.0,correct
w8858452,puzzle,../static/stimuli/images/vineyard/sun_aokkqrsxsvimuubo.jpg,False,-1,True,True,1068.0,puzzle,2365.0,3433.0,correct
w8858452,snake,../static/stimuli/images/beach/sun_aacgcodmtsyjjmbx.jpg,False,-1,True,False,7057.0,cat,1784.0,8841.0,other
w8858452,flower,../static/stimuli/images/tower/sun_avnkmtvvzgltezto.jpg,False,-1,True,True,1774.9999999998836,flower,999.0000000001164,2774.0,intrusion
w8858452,jeans,../static/stimuli/images/forest/sun_aoqjnzwgdikwayvw.jpg,False,-1,True,True,1183.0,jeans,996.0,2179.0,correct
w8858452,dog,../static/stimuli/images/volcano/sun_ausfbukcukjcqubc.jpg,False,-1,True,False,4183.0,,0.0,4183.0,empty
w8858452,heart,../static/stimuli/images/restaurant/sun_aiyfhlpenzexmqoi.jpg,False,-1,True,False,7408.0,,1.0,7409.0,empty
w8858452,bee,../static/stimuli/images/musuem/sun_asxfpkysdohbethd.jpg,False,-1,True,False,1027.0,bee,389.0,1416.0,intrusion
w8858452,door,../static/stimuli/images/tenniscourt/sun_aczifhfuxagmsqub.jpg,False,-1,True,False,4770.0,,0.0,4770.0,empty
w8858452,toilet,../static/stimuli/images/subway/sun_axdrpmtfwsncbewy.jpg,False,-1,True,True,1359.0,toilet,1455.0,2814.0,correct
